2025-02-15 17:23:35.519198 INFO::Writing function arguments to log file
2025-02-15 17:23:35.524285 DEBUG::Function arguments
2025-02-15 17:23:35.526745 DEBUG::Output folder: ../intermediate_files/maaslin/Q1/genus/healthy vs Grouppost_ltx
2025-02-15 17:23:35.52932 DEBUG::Min Abundance: 0.000000
2025-02-15 17:23:35.532351 DEBUG::Min Prevalence: 0.000000
2025-02-15 17:23:35.534894 DEBUG::Normalization: TSS
2025-02-15 17:23:35.537604 DEBUG::Transform: LOG
2025-02-15 17:23:35.539651 DEBUG::Analysis method: LM
2025-02-15 17:23:35.541439 DEBUG::Max significance: 0.050000
2025-02-15 17:23:35.543186 DEBUG::Random effects: Patient
2025-02-15 17:23:35.544915 DEBUG::Fixed effects: Group,Country
2025-02-15 17:23:35.546573 DEBUG::Correction method: BH
2025-02-15 17:23:35.549389 DEBUG::Standardize: TRUE
2025-02-15 17:23:35.551112 DEBUG::Cores: 1
2025-02-15 17:23:35.5527 INFO::Verifying options selected are valid
2025-02-15 17:23:35.557504 INFO::Determining format of input files
2025-02-15 17:23:35.563833 INFO::Input format is data samples as columns and metadata samples as rows
2025-02-15 17:23:35.582991 DEBUG::Transformed data so samples are rows
2025-02-15 17:23:35.587146 DEBUG::A total of 511 samples were found in both the data and metadata
2025-02-15 17:23:35.589175 DEBUG::Reordering data/metadata to use same sample ordering
2025-02-15 17:23:35.594751 INFO::Formula for random effects: expr ~ (1 | Patient)
2025-02-15 17:23:35.599844 INFO::Formula for fixed effects: expr ~  Group + Country
2025-02-15 17:23:35.604737 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-02-15 17:23:35.610574 INFO::Filter data based on min abundance and min prevalence
2025-02-15 17:23:35.616053 INFO::Total samples in data: 511
2025-02-15 17:23:35.621428 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-02-15 17:23:35.633932 INFO::Total filtered features: 0
2025-02-15 17:23:35.639447 INFO::Filtered feature names from abundance and prevalence filtering:
2025-02-15 17:23:35.656466 INFO::Total filtered features with variance filtering: 0
2025-02-15 17:23:35.661925 INFO::Filtered feature names from variance filtering:
2025-02-15 17:23:35.667322 INFO::Running selected normalization method: TSS
2025-02-15 17:23:35.68923 INFO::Applying z-score to standardize continuous metadata
2025-02-15 17:23:35.702669 INFO::Running selected transform method: LOG
2025-02-15 17:23:35.736894 INFO::Running selected analysis method: LM
2025-02-15 17:23:35.746624 INFO::Fitting model to feature number 1, Actinomyces
2025-02-15 17:23:35.915118 INFO::Fitting model to feature number 2, Bifidobacterium
2025-02-15 17:23:36.060201 INFO::Fitting model to feature number 3, Rothia
2025-02-15 17:23:36.196655 INFO::Fitting model to feature number 4, Atopobium
2025-02-15 17:23:36.350257 INFO::Fitting model to feature number 5, Collinsella
2025-02-15 17:23:36.486706 INFO::Fitting model to feature number 6, f__Coriobacteriales_Incertae_Sedis.g__uncultured
2025-02-15 17:23:36.650905 INFO::Fitting model to feature number 7, Adlercreutzia
2025-02-15 17:23:36.810379 INFO::Fitting model to feature number 8, Eggerthella
2025-02-15 17:23:36.973592 INFO::Fitting model to feature number 9, Enterorhabdus
2025-02-15 17:23:37.111405 INFO::Fitting model to feature number 10, Gordonibacter
2025-02-15 17:23:37.305511 INFO::Fitting model to feature number 11, Senegalimassilia
2025-02-15 17:23:37.458591 INFO::Fitting model to feature number 12, Slackia
2025-02-15 17:23:37.632602 INFO::Fitting model to feature number 13, f__Eggerthellaceae.g__uncultured
2025-02-15 17:23:37.782189 INFO::Fitting model to feature number 14, Bacteroides
2025-02-15 17:23:37.926586 INFO::Fitting model to feature number 15, Barnesiella
2025-02-15 17:23:38.086141 INFO::Fitting model to feature number 16, Coprobacter
2025-02-15 17:23:38.241852 INFO::Fitting model to feature number 17, f__Barnesiellaceae.g__uncultured
