feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Alistipes	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerofilum	Anaerotruncus	CAG.352	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Haemophilus	Akkermansia	Enterococcus	Veillonellaceae	Ralstonia	Klebsiella	f__Enterobacteriaceae.g__unassigned	Pseudomonas
Cah8-297-CE	0.000175793267117869	0.0582754680495737	0	0	0.0404763997538894	0.000307638217456271	0.000307638217456271	0	0.000878966335589347	0	0.00329612375846005	0.00065922475169201	0.00140634613694296	0.08002988485541	0.0135800298848554	0	0.00083501801880988	0.00738331721895051	0.00290058890744484	0	0	0.00298848554100378	0	0	0.123890305001318	0	0.0117342005801178	0.00571328118133075	0	0.013448184934517	0.00101081128592775	0	0.00395534851015206	0	0	0.00558143623099235	0	0	8.78966335589347e-05	0.000307638217456271	0.00101081128592775	0	0	0.00268084732354751	8.78966335589347e-05	0.00399929682693153	0	0.00351586534235739	0.00615276434912543	0.015425859189593	0.00105475960270722	0.00496615979607981	0.0332688758020568	0.00637250593302277	0.0883800650435088	0.00131844950338402	0.0324778061000264	0.00958073305792388	0	0	0.0211391403709238	0.000878966335589347	0.00131844950338402	0	0.00276874395710644	0.00065922475169201	0.00109870791948668	0.0103718027599543	0.00839412850487826	0.00105475960270722	0.000351586534235739	0.000703173068471478	0.00127450118660455	0	0	0	0.00971257800826228	0.00843807682165773	0	0.000307638217456271	0	0.00307638217456271	0	0.0136239782016349	0.0193812076997451	0.00259295068998857	0.000791069702030412	0.000439483167794673	0.00109870791948668	0.000307638217456271	0.000351586534235739	0.000615276434912543	0.00162608772084029	0.000131844950338402	0	0.0283466643227564	0.00254900237320911	0.0084820251384372	0.00109870791948668	0.00246110573965017	0	8.78966335589347e-05	0	8.78966335589347e-05	0	0.138656939439219	0.000527379801353608	0.00250505405642964	0.000395534851015206	0	0.0423222290586271	0.0209633471038059	0	0.000219741583897337	0	0.00413114177726993	0.00065922475169201	0	0.00918519820690867	0.000307638217456271	0	0.00197767425507603	0.000219741583897337	0.00175793267117869	0	8.78966335589347e-05	0.000966862969148282	0	0.0112507690955436	0.000703173068471478	0	0.00540564296387448	0	0.00065922475169201	0	0	0.000263689900676804	0	0.00641645424980223	0	0.000263689900676804	0.00501010811285928	0	0	0	0	0	0
Cah8-297-RE	0.000122794809872703	0.0580819450697884	0.000204658016454505	0	0.048749539519463	0.000163726413163604	0.000491179239490811	0	0.00126887970201793	0	0.00413409193238099	0.00110515328885432	0.00151446932176333	0.0758871925013303	0.0133437026728337	0	0.000409316032909009	0.00749048340223487	0.00253775940403586	0	0	0.00261962261061766	0	0	0.112316319430232	0	0.0122385493839794	0.00564856125414433	0	0.0104784904424706	0.00090049527239982	0	0.000818632065818018	0	0	0.00515738201465351	0	0	8.18632065818018e-05	0.000613974049363514	0.000941426875690721	0	0	0.00413409193238099	0	0.00564856125414433	0	0.0047071343784536	0.00789979943514387	0.0183373582743236	0.00110515328885432	0.00503458720478081	0.0331955302689206	0.00953706356677991	0.0831320862838197	0.00200564856125414	0.0341778887479023	0.00953706356677991	0	0	0.0215709549343048	0.000654905652654414	0.000736768859236216	0	0.00270148581719946	0.000286521223036306	0.00196471695796324	0.00855470508779829	0.00777700462527117	0.00090049527239982	0.000286521223036306	0.00126887970201793	0.00139167451189063	0	0	0	0.00998731120297982	0.00646719331996234	0.000245589619745405	0.00102329008227252	0	0.00311080185010847	0	0.0124432074004339	0.0194425115631779	0.00286521223036306	0.00118701649543613	0.000204658016454505	0.00090049527239982	0	8.18632065818018e-05	0.00114608489214523	0.00114608489214523	8.18632065818018e-05	0	0.0305349760550121	0.00192378535467234	0.00974172158323442	0.00135074290859973	0.00302893864352667	0	0.000122794809872703	0	0	0	0.134869632843518	0.000245589619745405	0.00290614383365396	0.00045024763619991	0	0.0390896811428104	0.0184192214809054	0	0.000245589619745405	0	0.00495272399819901	0.00118701649543613	0	0.0119110965576522	0.000573042446072613	0	0.00139167451189063	0.000204658016454505	0.00335639146985387	0	0	0.00118701649543613	0	0.0149809668044697	0.00147353771847243	0	0.00626253530350784	0	0.000736768859236216	8.18632065818018e-05	0	0.000204658016454505	0.000163726413163604	0.00605787728705333	0	0.000613974049363514	0.00753141500552577	0	0	0	0	0	0
Cah8-298-RE	0.000513970656947949	0.0417717970283151	0.000513970656947949	0	0	0	0	0	0	0.0127558172133445	0	0	0	0.130735445285487	0	0	0	0	0.00378469301934399	0	0	0	0	0	0	0	0	0.031959629941127	0	0	0	0	0	0	0.000654144472479208	0	0	0	0	0.0040650406504065	0.000327072236239604	0.000140173815531259	0.00322399775721895	0.00990561629754228	0.000233623025885431	0	0	0.00112139052425007	0	0.00495280814877114	0	0	0.00677506775067751	0.0122418465563966	0.16180730772825	0	0	0.0313522100738249	0.00130828894495842	0.00504625735912532	0.00841042893187553	0.00345762078310438	0	0.00285020091580226	0.00700869077656294	0	0	0	0.00172881039155219	0.00766283524904215	0.0121016727408653	0	0.0361648444070648	0.0102326885337819	0.00074759368283338	0	0.00242967946920849	0.00756938603868797	0	0.0040650406504065	0	0	0.0047659097280628	0.084478086160172	0.0125221941874591	0.000233623025885431	0.00116811512942716	9.34492103541725e-05	0.00387814222969816	0.00705541538174002	0.0100925147182506	0.00112139052425007	0.00859732735258387	0.000140173815531259	0.000233623025885431	0.0123352957667508	0.000700869077656294	0.0193907111484908	0.00420521446593776	0.00672834314550042	0.000186898420708345	0	0	0.000420521446593776	0	0.151434445378937	0.00429866367629194	0.0108868330062611	0.0177553499672928	0.00280347631062518	0.0223810858798243	0.00434538828146902	0.00677506775067751	0	0	0.0010279413138959	0	0.000140173815531259	0.00719558919727128	0.00415848986076068	0	0	0	0	0	0	0	0	0.0037379684141669	0	0	0.00532660499018783	0	0	0.000140173815531259	0	0.00710213998691711	0.00252312867956266	0	0	0	0	0	0	0	0	0	0
Cah8-299-CE	0.00055891942244993	0.00040366402732495	0	0.000248408632199969	0.0490607048594939	0	0.0015836050302748	0.0124204316099984	0	0.000155255395124981	0	0	0	0.234497748796771	0	0.024344045955597	0.000124204316099984	0.00220462661077472	0.00270144387517466	0	0	0.0111783884489986	0	0.00167675826734979	0	0	0.0174507064120478	0.00832168917869896	0	0	0.00484396832789939	0	0	0	0	0.00105573668684987	0.000217357553174973	0	0.00114888992392486	0	0	0.00055891942244993	0	0.00503027480204937	0	0.000186306474149977	0	0.000527868343424934	0	0	0	0	0	0.0140040366402733	0.0767893184288154	0.00130414531904984	0.00593075609377426	0.0114888992392486	0	0	0.00406769135227449	0	0.00204937121564974	0.000434715106349946	0.0294674739947213	6.21021580499922e-05	9.31532370749884e-05	0.000124204316099984	9.31532370749884e-05	0.00108678776587486	0.0147182114578482	9.31532370749884e-05	0.000341561869274957	0.00301195466542462	0	0	0	0.0138177301661233	0	0	0	0.00487501940692439	0.088433473063189	0.161496662009005	0.063841018475392	0	0.00136624747709983	0	0.00866325104797392	0.0231951560316721	0.00155255395124981	0	0.0063965222791492	0	0	0.00614811364694923	0.000807328054649899	0.00254618848004968	0	0.00360192516689955	0	0.00096258344977488	0	0.000527868343424934	0	0.0172333488588728	0	0.000310510790249961	0	0	0	0.00167675826734979	0.00304300574444962	0	0.00186306474149977	0.00152150287222481	0	0	0.00332246545567458	0	0	0	0	6.21021580499922e-05	0	6.21021580499922e-05	0	0.000434715106349946	0.00040366402732495	0	0	0.0123583294519485	0	0	0.000124204316099984	6.21021580499922e-05	0.00503027480204937	0.0176991150442478	0	0	0	0.000900481291724887	0	0	0	0	0	0
Cah8-300-CE	0.000527721890563673	0.00910320261222336	0	0	0.0751014215508427	0	0.000131930472640918	6.59652363204591e-05	0.00230878327121607	0.000131930472640918	0.0123025165737656	0.00158316567169102	0.00277053992545928	0.167221874072364	0.00629968006860385	0.000956495926646657	0.000230878327121607	0.00128632210824895	0.00237474850753653	0.00382598370658663	0.0278043471090735	0.00217685279857515	0	0	0.0167221874072364	0	0.00596985388700155	0.0433391602625416	0	0.00244071374385699	0.00445265345163099	0.000923513308486428	0.000461756654243214	0.00930109832118474	0	0.000230878327121607	0	0.0049144101058742	0	0	0	0	9.89478544806887e-05	0.00501335796035489	9.89478544806887e-05	0	0.000131930472640918	0.00141825258088987	0	0.000461756654243214	0	0	0.0052442362874765	0.00293545301626043	0.102378046769353	0.0188990402058115	0.0220653715491936	0.0644810185032488	0.000164913090801148	0	0.008476532867179	0	0.00247369636201722	0	0.0118407599195224	0.000560704508723902	0.00217685279857515	0.00349615752498433	0.00075860021768528	0.0011214090174478	0.00709126290444935	0.000857548072165968	0.0218674758402322	0	0	0	0.000230878327121607	0.00715722814076981	0.000428774036082984	0.000263860945281836	0	0	0	0.0550809723275834	0.0388205415745902	0	0.00204492232593423	0	0.00366107061578548	0.000329826181602296	0.000230878327121607	0.00141825258088987	0.0017810613806524	0.000956495926646657	0	0.0175137702430819	0	0.000395791417922755	0.000923513308486428	0.0014512351990501	6.59652363204591e-05	0.000230878327121607	0	0.000131930472640918	0.000197895708961377	0.0711764899897754	0	0.00227580065305584	0.000527721890563673	6.59652363204591e-05	0.0220323889310333	0.0348956100135229	0.000296843563442066	0	0.000296843563442066	0.000857548072165968	0	0	0.00184702661697286	0	0	0.000692634981364821	0.000329826181602296	6.59652363204591e-05	0.000560704508723902	0.000131930472640918	0	0	9.89478544806887e-05	0	0.00125333949008872	0.00745407170421188	0	0	0.000560704508723902	0.000263860945281836	0.000428774036082984	0.000329826181602296	0.0302780434710907	0	0.000890530690326198	0	0	0	0	0	0	0
Cah8-301-RE	0	0.00213918346911838	0	0	0.0215283783168722	0	0.00691821036821264	0.00109234900550726	0	0.000182058167584543	0	0	0	0.30412816894998	0.0235765327021984	0.00218469801101452	0	0.00263984342997588	0.00869327750216194	0	0	0	0	0	0	0.00459696873150972	0.00491557052478267	0.0101497428428383	0.000318601793272951	0.00314050339083337	0.0019116107596377	0	0.000273087251376815	0	0	0.00282190159756042	0	0	0.00141095079878021	0.000728232670338173	0	0	0	0.00341359064221019	0	0.00054617450275363	0	0.00427836693823677	0.00641755040735515	0.0043238814801329	0.000227572709480679	0.000910290837922716	0.00218469801101452	0.000728232670338173	0.0309954030312685	0.0123344408538528	0.0337262755450366	0.0133812753174639	0	0	0.00268535797187201	0.000455145418961358	0	0	0.0498839379181649	0	0.000318601793272951	0.00282190159756042	0.00218469801101452	0.0030494743070411	0.01743206954622	0.00054617450275363	0.0113331209321378	0	0	0	0.000409630877065222	0.00277638705566428	0	0	0	0.000409630877065222	0.0147922261162441	0.0168858950434664	0.0575303809567157	0	0.0012744071730918	0	0.00359564880979473	0.00109234900550726	0.00104683446361112	9.10290837922716e-05	0.0048245414409904	0.00154749442446862	0.000136543625688407	0.00791953028992763	0.0017750671339493	0.0105138591780074	0.000182058167584543	0.00505211415047108	0	0	0.0155204587865823	0	0	0.139046925492695	0	0.00145646534067635	0.00491557052478267	0	0.00159300896636475	0.0292203358973192	0.000364116335169087	0.000364116335169087	9.10290837922716e-05	0.00131992171498794	0.00118337808929953	0.000273087251376815	0.0017750671339493	0	0	0.0011378635474034	0	0	0.000273087251376815	0	0	0	0	0	0	0.012744071730918	0	0	0	0	0.00628100678166674	0.00182058167584543	0.0411451458741068	0	9.10290837922716e-05	0	0	0	0	0	0	0
Cah8-302-CE	0.000106986198780357	0	0	0	0.00299561356585001	0	0	0.00221104810812738	0.000178310331300596	0.00196141364430655	0.00103419992154345	0.000427944795121429	0	0.26058271816269	0.016761171142256	0.00941478549267145	0	0.0063478477943012	0.010484647480475	0	0	0.00923647516137085	0	0	0	0	0.0116614956670589	0.0239292464605399	0	0	0.00106986198780357	0	0.000178310331300596	0	0.0055989444028387	0.00206839984308691	0.0201134053707072	0	0.00103419992154345	0	0	0.000213972397560715	0	0.00139082058414465	0.000142648265040476	0	7.13241325202382e-05	0.000178310331300596	0.000142648265040476	0.00353054455975179	0	0	0	0.000356620662601191	0.0100567026853536	0	0.00160479298170536	0.00513533754145715	0.00185442744552619	0.0680432224243073	0	0.000499268927641668	0	0	0.0341642594771941	0	0.000142648265040476	0.00263899290324881	0	0.00106986198780357	0.00395848935487322	0.000641917192682144	0.00078456545772262	0.000962875789023216	0.0195784743768054	0	0	0.000855889590242859	0	0	0	0	0	0.0885845725901359	0.0699689740023537	0	0.00131949645162441	0.000106986198780357	0.00674013052316251	0.0238935843942798	0.00295995149958989	0.000106986198780357	0.00912948896259049	0.00156913091544524	0	0.00249634463820834	0.00417246175243394	0.00206839984308691	0.000534930993901787	0.00834492350486787	0	0.000891551656502978	0.000320958596341072	0.000142648265040476	0	0.0215398880211119	0	0.00249634463820834	0.000427944795121429	0	0.000285296530080953	0.00374451695731251	0.0128383438536429	0	0.000178310331300596	0.00110552405406369	0	0.000499268927641668	0.000178310331300596	0	0.000641917192682144	0.000178310331300596	0	0	0	0	7.13241325202382e-05	0	0	0	0	0.0373738454406048	0	0	0.000142648265040476	0	0.0127313576548625	0.00164045504796548	0.0109839164081167	0.124175314717735	0	0	0	0	0	0	0	0
Cah8-302-RE	0.000393201974747695	0.000480580191358294	0.000131067324915898	0	0.00650967713748962	0	0	0.00349512866442396	0	0.00270872471492857	0.00327668312289746	0.00131067324915898	0	0.243392022368823	0.0222377561273974	0.00751452662851151	0	0.00655336624579492	0.0162523482895714	0	0	0.0083883087946175	0	0	0	0	0.0106164533181878	0.0195290314124689	0	0	0.00235921184848617	0	0.00109222770763249	0	0.00336406133950806	0.00104853859932719	0.0162086591812661	0	0.00109222770763249	0	0	0	0.000480580191358294	0.00318930490628686	0.000218445541526497	0	0	0.00131067324915898	0.000393201974747695	0.00537376032155184	0	8.7378216610599e-05	0	0.000393201974747695	0.0137620691161693	0	0.00533007121324654	0.0105290751015772	0.00279610293153917	0.0509851893922845	0.000436891083052995	0.00152911879068548	0	8.7378216610599e-05	0.0283979203984447	0	0	0.00275241382323387	0	0.00214076630695967	0.00397570885578225	0.000174756433221198	0.00170387522390668	0.00113591681593779	0.0166455502643191	0	0	0.00235921184848617	0	0	0	0	0	0.0796015553322557	0.060247280353008	0	0.00227183363187557	0.000436891083052995	0.00760190484512211	0.0177814670802569	0.00196600987373848	0.000567958407968893	0.00799510681986981	0.000786403949495391	0.000218445541526497	0.00262134649831797	0.00449997815544585	0.00428153261391935	0.000349512866442396	0.0085630652278387	0.000567958407968893	0.000524269299663594	0.000480580191358294	0.000218445541526497	0	0.0668880248154135	0	0.00244659006509677	0.000262134649831797	0	0.000218445541526497	0.00345143955611866	0.00983004936869238	0	0.000131067324915898	0.00192232076543318	0	0.000305823758137096	0.000480580191358294	0	0.000742714841190091	0	0	0	0	0.000174756433221198	0.000655336624579492	0	0	0	0	0.0327668312289746	0	0	0	0	0.0134562453580322	0.00174756433221198	0.0208833937699332	0.10791209751409	0	0	0	0	0	0	0	0
Cah8-303-CE	0	0.00909372339602198	0	0	0.0630369166473183	0	0.00282485875706215	0	0	0.000851327296648866	0	0	0	0.182996672084204	0.00797151923225757	0	0	0.00112220416376441	0.0020122281557155	0	0	0	0	0	0	0	0.0125764259732219	0.00379227613961768	0	0	0.000541753734231097	0	0	0.00739106880272425	0	0.00228310502283105	0	0.0157882516833062	0	0	0.000116090085906664	0	0	0.00367618605371101	0	0.00189613806980884	0	0.00866805974769755	0.00232180171813327	0.00185744137450662	0.00135438433557774	0.00131568764027552	0.050383097283492	0.00178004798390217	0.0634625802956428	0.00460490674096432	0.0366070737559012	0.0133116631839641	0	0	0.0357557464592524	0.000928720687253309	0	0	0.0213992725021283	0.00564971751412429	0.000928720687253309	0.00139308103087996	0.0025539818899466	0.000928720687253309	0.000696540515439981	0.000928720687253309	0.00305703892887547	0	0	0	0.00646234811547094	0.00646234811547094	0	0.00286355545236437	0	0.00065784382013776	0	0.00414054639733767	0.010138534169182	0.00363748935840879	0.00205092485101772	0.000232180171813327	0.00135438433557774	0.000386966953022212	0.00208962154631994	0.000541753734231097	0.00154786781208885	0	0	0.00812630601346645	0.000812630601346645	0.00634625802956428	0.000232180171813327	0.00340530918659546	0	0	0.056690658617754	0	0	0.225059979877718	0	0.00228310502283105	0	0	0.00773933906044424	0.0277842272269948	0.00119959755436886	0	0.000116090085906664	0.000386966953022212	0.00158656450739107	0	0.00336661249129324	0	0	0.000619147124835539	0.000580450429533318	0	0	0	0.000928720687253309	0	0.0065784382013776	0	0	0.00611407785775095	0	0	0	0	0	0.0140855970900085	0.00123829424967108	0	0.000154786781208885	0.00414054639733767	0	0	0	0	0	0
Cah8-303-RE	0	0.00902245437894308	0	0	0.0692286819076046	0	0.00457906519232074	0	0	0.000814056034190353	0	0	0	0.176480564412184	0.0087850213689709	0.000237433009972186	0	0.00145851706125772	0.00220473509259887	0	0	0	0	0	0	0	0.0141103045926328	0.00403636116952717	0	0	0.000542704022793569	0	0	0.00990434841598263	0	0.00193338308120209	0	0.0202835628519096	0	0	0.000407028017095177	0.000135676005698392	0	0.0052913642222373	0	0.00332406213961061	0	0.00953123940031205	0.00386676616240418	0.00237433009972186	0.00111932704701174	0.00088189403703955	0.0409402347194899	0.00244216810257106	0.0676005698392239	0.00471474119801913	0.0326979173733125	0.0118038124957601	0	0	0.0325961603690387	0.000847975035614951	0	0	0.0177057187436402	0.0053252832236619	0.00118716504986093	0.00200122108405129	0.00254392510684485	0.000847975035614951	0.000678380028491961	0.00088189403703955	0.00627501526355064	0	0	0	0.00580014924360627	0.00756393731768537	0	0.00261176310969405	0	0.00088189403703955	0	0.00461298419374534	0.00912421138321688	0.00278135811681704	0.0017298690726545	0.000373109015670579	0.00142459805983312	0.000678380028491961	0.00213689708974968	0.000407028017095177	0.00189946407977749	0	0	0.00888677837324469	0.000712299029916559	0.00396852316667797	0.000474866019944373	0.00278135811681704	0	0	0.0542704022793569	0.000135676005698392	0	0.219896886235669	0.000101757004273794	0.00193338308120209	0	0.000101757004273794	0.00746218031341157	0.0306966962892612	0.00128892205413473	0	0	0.000203514008547588	0.00128892205413473	0	0.00322230513533682	0	0	0.00122108405128553	0.000576623024218167	0	0	0	0.00152635506410691	0	0.00786920833050675	0	0	0.00563055423648328	0	0	0	0	0	0.0147547656197002	0.00189946407977749	0	6.78380028491961e-05	0.00535920222508649	0	0	0	0	0	0
