feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Rothia	Country	NO	-3.23922075177102	0.369465992842865	337	112	6.2931131779269e-15	2.00120999058075e-12
Actinomyces	Country	NO	-3.0682046155108	0.427333395876404	337	133	3.88305953190677e-11	6.17406465573177e-09
X.Clostridium._innocuum_group	Country	NO	-3.19552133059737	0.539991776459204	337	124	2.44024690034503e-08	2.58666171436573e-06
Gordonibacter	Country	NO	-1.08414640176233	0.220130301313712	337	40	2.37280228273781e-06	0.000188637781477656
Lacticaseibacillus	Country	NO	-1.18744140755826	0.27116729568406	337	45	2.30920931377811e-05	0.00146865712356288
Streptococcus	Country	NO	-1.74559249692552	0.442785754348347	337	320	0.000124686256951675	0.00660837161843879
Enterococcus	Country	NO	-2.53612571853941	0.697721512033841	337	115	0.00038824470793765	0.017632647974559
Lachnospiraceae_UCG.004	Country	NO	1.80676607606726	0.507023098618147	337	252	0.000499037206827141	0.017632647974559
Parasediminibacterium	Country	NO	0.592212451002174	0.166165110372956	337	44	0.000472664394316737	0.017632647974559
o__Lactobacillales.f__unassigned.g__unassigned	Country	NO	-1.39035766310956	0.397366336763465	337	118	0.000629057437928325	0.0187896582964889
Hydrogenoanaerobacterium	Group	ibd	-0.29367014472123	0.0844735010916078	337	7	0.000649956733526346	0.0187896582964889
Faecalibacterium	Country	NO	2.08238630001405	0.608207704761484	337	304	0.000808471373793524	0.0214244914055284
Acidaminococcus	Country	NO	-1.18037489540631	0.365890143493525	337	35	0.00156030819929622	0.0330785338250798
Burkholderia.Caballeronia.Paraburkholderia	Country	NO	0.672871231281826	0.207395424373306	337	54	0.00144448061793837	0.0330785338250798
Dyella	Country	NO	0.60665468404208	0.188014638147277	337	37	0.00150747783513916	0.0330785338250798
Akkermansia	Group	ibd	-2.36768589981494	0.76215725598096	337	131	0.0021559830470741	0.0428501630605978
Gemella	Group	ibd	1.23443442518987	0.407864370897319	337	103	0.00295812583664738	0.0553343538855216
Clostridia_UCG.014	Group	ibd	1.17015038772506	0.40491829829055	337	72	0.00432710103455328	0.0688009064493971
Lachnospiraceae_FCS020_group	Country	NO	1.52994924036469	0.525745766783093	337	175	0.00419517920802958	0.0688009064493971
Ralstonia	Country	NO	0.723542864768827	0.24804635353148	337	48	0.00401413214867806	0.0688009064493971
Janthinobacterium	Country	NO	0.352570332526427	0.12292263958589	337	28	0.00458419418780296	0.0694177977010162
Hungatella	Group	ibd	-2.41394092200284	0.849616339737953	337	188	0.00500953980752021	0.0722558229219955
Gastranaerophilales	Group	ibd	-0.904729093777968	0.319823422702307	337	33	0.00522605008555314	0.0722558229219955
Clostridia_UCG.014	Country	NO	0.982000495797755	0.350505867140637	337	72	0.00577750123889294	0.0765518914153315
Collinsella	Country	NO	-1.85587404162549	0.673127164441195	337	214	0.00660082194942331	0.0839624551966646
Bifidobacterium	Country	NO	-1.84985378060666	0.687790479502451	337	277	0.00801220974225177	0.0965196020699004
Methylobacterium.Methylorubrum	Country	NO	0.52406339746283	0.195946160974254	337	52	0.00819506055310475	0.0965196020699004
Megasphaera	Country	NO	-1.15629700816767	0.441071476674406	337	54	0.00970624690820669	0.110235232743205
Sellimonas	Country	NO	-1.40674061154133	0.551428444669688	337	111	0.0117999470130855	0.129392522419351
Lactococcus	Country	NO	-0.686473365839561	0.271273327814183	337	33	0.0125237536078274	0.13275178824297
Eisenbergiella	Country	NO	1.25344662036604	0.500490333332578	337	145	0.0133842390082785	0.133005875144767
X.Eubacterium._brachy_group	Country	NO	-0.591144510972692	0.235575632314293	337	41	0.0132033402479334	0.133005875144767
Gemella	Country	NO	-0.828121006661431	0.341917065666595	337	103	0.0167550655451855	0.161457904344515
CAG.56	Country	NO	1.12730346989088	0.480593695510569	337	111	0.0203738456457499	0.19055537986319
Odoribacter	Group	ibd	-1.4211273767449	0.621128430352866	337	143	0.0230229851799637	0.209180265349384
Olsenella	Country	NO	-0.593767481563618	0.266098349525956	337	41	0.0272150683241171	0.211295961901767
Muribaculaceae	Group	ibd	0.623967279393889	0.278407667246988	337	38	0.0256802088040062	0.211295961901767
Turicibacter	Country	NO	0.805468447834947	0.361723245859993	337	71	0.0275504758725943	0.211295961901767
Lachnospiraceae_NK4A136_group	Country	NO	1.12628750435429	0.51215804178183	337	151	0.0294880936285247	0.211295961901767
