feature	Actinomyces	Bifidobacterium	Rothia	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Muribaculaceae	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Bilophila	Desulfovibrio	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Lactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Christensenellaceae_R.7_group	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	CAG.352	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Intestinibacter	Romboutsia	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Veillonellaceae	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Haemophilus	Pseudomonas	Akkermansia	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Gordonibacter	f__Barnesiellaceae.g__uncultured	Tannerellaceae	Parasediminibacterium	Campylobacter	Gastranaerophilales	Dielma	Holdemania	Lacticaseibacillus	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Lactococcus	RF39	f__Christensenellaceae.g__unassigned	Anaerostignum	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lactonifactor	X.Eubacterium._ruminantium_group	UCG.008	Pseudoflavonifractor	Hydrogenoanaerobacterium	Anaerotruncus	Candidatus_Soleaferrea	Paludicola	f__Ruminococcaceae.g__unassigned	X.Clostridium._methylpentosum_group	f__Peptococcaceae.g__uncultured	X.Eubacterium._brachy_group	Allisonella	Anaeroglobus	Methylobacterium.Methylorubrum	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Janthinobacterium	Massilia	Aggregatibacter	Dyella	Pyramidobacter
4004.III.2.lib30	19	10	9	0	162	0	14	0	54	175	10182	865	184	99	465	0	0	0	0	0	1185	909	0	0	11	203	0	0	0	6	4	0	1659	23	6	23	0	0	720	76	33	1532	0	223	919	145	111	16	0	78	392	72	26	8	0	179	0	86	8426	12	2	0	49	0	182	0	0	190	0	296	3573	4	193	64	8	66	11	15	0	749	302	34	18	128	0	0	4035	0	18	39	9	97	0	3	95	0	7	0	11	32	233	0	0	711	0	0	285	0	83	0	0	1122	4606	0	7	743	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	0
4004.V.3.lib30	0	13	0	0	44	0	5	0	6	95	3977	261	43	36	109	0	0	0	0	0	323	255	0	0	2	27	0	0	0	0	0	0	274	3	2	6	0	0	264	23	8	479	6	94	320	59	29	11	0	10	148	22	9	1	0	52	0	37	1811	4	2	0	14	0	88	2	0	38	0	90	1129	0	85	28	0	27	9	18	5	748	146	23	13	72	0	0	1862	0	13	7	11	65	0	0	19	0	0	0	2	10	78	0	0	539	0	0	251	0	28	0	0	283	964	2	0	253	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
4004.VI.4.lib30	20	19	7	0	119	0	6	0	27	74	1668	157	22	16	51	0	0	0	0	0	168	123	0	0	7	68	0	0	0	0	0	0	497	9	0	5	0	3	207	31	11	504	0	112	319	40	47	2	0	12	82	12	6	5	0	38	0	27	1575	5	2	0	5	0	103	2	0	44	0	98	852	4	49	15	0	16	12	7	0	389	55	17	11	54	0	0	1308	0	5	8	14	29	0	0	31	0	4	0	5	9	91	0	0	296	0	0	118	0	27	0	0	197	576	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
4011.3.rerun.lib32	261	3181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	12869	0	11876	0	0	0	0	0	0	0	7	340	0	0	6	0	121	0	0	0	62	0	15	151	0	0	0	0	218	0	0	0	0	0	0	0	0	0	25	0	279	0	0	0	4	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2616	0	0	20689	15187	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	28	0	0	0	0	0	0
4011.4.rerun.lib32	234	4724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	8393	0	4517	5	0	0	0	0	0	18	0	153	0	0	18	36	11	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	62	0	22	83	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1529	0	0	10023	6804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	8	0	0	0	0	0
4011.III.2.lib30	29	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1479	0	704	2	0	0	0	0	0	7	0	8	0	0	2	0	4	0	0	0	0	0	0	3	0	0	0	0	30	0	0	0	0	0	0	0	0	9	7	0	24	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	602	0	0	5232	3246	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4013.2.lib27	0	193	0	0	52	0	0	0	0	22	450	162	6	21	9	96	0	0	289	0	70	56	11	0	0	6	0	11	2	0	0	0	4	0	0	421	70	20	8	787	208	4040	0	114	324	6	558	63	19	0	41	24	63	15	31	50	73	23	132	0	0	28	9	0	91	11	10	170	0	46	560	16	17	19	0	20	19	7	7	528	68	83	0	60	0	0	4350	0	23	0	115	1275	5	0	15	0	62	0	16	32	33	11	0	100	0	0	0	0	0	3	5	101	8	0	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
4013.3.lib30	0	94	0	0	75	4	2	0	0	40	2800	253	49	50	132	164	0	0	381	0	234	488	42	0	0	3	0	16	0	0	0	0	0	0	0	201	81	13	8	703	217	981	0	214	369	7	335	163	19	2	122	74	39	19	31	80	89	13	259	0	0	15	14	0	100	31	25	176	6	55	674	9	13	14	2	18	15	6	26	502	86	58	0	18	0	0	2117	0	19	0	173	696	3	4	14	3	53	3	15	6	15	5	0	636	0	0	0	0	0	10	33	228	18	0	0	0	9	1764	0	0	0	0	0	0	7	0	0	0	0	0	0	0	15	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0
4013.4.lib30	0	286	0	0	406	16	0	0	0	143	2296	341	54	51	77	219	0	0	830	0	221	385	59	0	0	3	0	35	0	0	0	0	10	0	0	358	86	38	32	987	476	2287	0	379	560	17	546	239	35	0	175	76	50	15	35	82	83	18	151	0	0	23	18	0	174	38	38	223	22	66	957	28	38	28	10	15	27	8	16	712	94	94	4	33	0	0	2707	0	31	3	185	958	0	0	12	0	102	8	37	9	62	7	0	551	0	0	0	0	0	22	30	310	0	0	0	7	2	878	0	0	0	0	0	0	12	0	0	0	0	0	0	0	8	0	0	27	0	0	0	0	0	0	0	0	11	0	0	0	0	12	0	0	0	0	0	0	0	0	0
4015.2.rerun.lib32	0	857	0	25	360	11	11	0	0	0	5408	1143	0	0	93	0	0	0	0	0	512	1206	250	0	0	140	0	0	0	9	0	0	24	0	0	233	0	0	0	49	68	2447	0	188	317	54	0	81	0	0	566	19	173	0	200	95	8	18	4412	0	90	0	10	0	227	17	0	32	157	1446	527	7	26	68	20	0	0	31	5	461	265	0	0	16	0	2	3092	0	53	2	38	1655	3	0	23	0	4	0	3	16	21	2	0	0	82	0	13	0	0	0	0	397	23	0	5	4	2	5	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
