feature	Actinomyces	Bifidobacterium	Rothia	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Muribaculaceae	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Bilophila	Desulfovibrio	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Lactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Christensenellaceae_R.7_group	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	CAG.352	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Intestinibacter	Romboutsia	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Veillonellaceae	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Haemophilus	Pseudomonas	Akkermansia	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Gordonibacter	f__Barnesiellaceae.g__uncultured	Tannerellaceae	Parasediminibacterium	Campylobacter	Gastranaerophilales	Dielma	Holdemania	Lacticaseibacillus	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Lactococcus	RF39	f__Christensenellaceae.g__unassigned	Anaerostignum	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lactonifactor	X.Eubacterium._ruminantium_group	UCG.008	Pseudoflavonifractor	Hydrogenoanaerobacterium	Anaerotruncus	Candidatus_Soleaferrea	Paludicola	f__Ruminococcaceae.g__unassigned	X.Clostridium._methylpentosum_group	f__Peptococcaceae.g__uncultured	X.Eubacterium._brachy_group	Allisonella	Anaeroglobus	Methylobacterium.Methylorubrum	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Janthinobacterium	Massilia	Aggregatibacter	Dyella	Pyramidobacter
4004.III.2.lib30	0.000401080807227898	0.000211095161698894	0.000189985645529004	0	0.00341974161952208	0	0.000295533226378451	0	0.00113991387317403	0.00369416532973064	0.214937093641814	0.0182597314869543	0.00388415097525965	0.00208984210081905	0.00981592501899856	0	0	0	0	0	0.0250147766613189	0.0191885501984295	0	0	0.000232204677868783	0.00428523178248755	0	0	0	0.000126657097019336	8.44380646795575e-05	0	0.0350206873258465	0.000485518871907456	0.000126657097019336	0.000485518871907456	0	0	0.0151988516423204	0.00160432322891159	0.00069661403360635	0.0323397787722705	0	0.00470742210588533	0.0193996453601283	0.00306087984463396	0.00234315629485772	0.00033775225871823	0	0.00164654226125137	0.00827493033859664	0.00151988516423204	0.000548847420417124	0.000168876129359115	0	0.0037786033944102	0	0.00181541839061049	0.177868783247488	0.000253314194038673	4.22190323397788e-05	0	0.00103436629232458	0	0.00384193194291987	0	0	0.00401080807227898	0	0.00624841678628726	0.0754243012750148	8.44380646795575e-05	0.00407413662078865	0.00135100903487292	0.000168876129359115	0.0013932280672127	0.000232204677868783	0.000316642742548341	0	0.0158110276112472	0.00637507388330659	0.000717723549776239	0.000379971291058009	0.00270201806974584	0	0	0.0851768977455037	0	0.000379971291058009	0.000823271130625686	0.000189985645529004	0.00204762306847927	0	6.33285485096682e-05	0.00200540403613949	0	0.000147766613189226	0	0.000232204677868783	0.00067550451743646	0.00491851726758423	0	0	0.0150088659967914	0	0	0.00601621210841847	0	0.00175208984210082	0	0	0.0236848771426159	0.0972304314785105	0	0.000147766613189226	0.0156843705142278	0.000147766613189226	0	0	0	4.22190323397788e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000147766613189226	0	0	0	0.000253314194038673	6.33285485096682e-05	0	0	0	0	0	0	0	0	0	0	0
4004.V.3.lib30	0	0.000822732738434276	0	0	0.0027846338839314	0	0.000316435668628568	0	0.000379722802354281	0.00601227770394279	0.251692930827163	0.0165179419024112	0.00272134675020568	0.00227833681412569	0.00689829757610278	0	0	0	0	0	0.0204417441934055	0.016138219100057	0	0	0.000126574267451427	0.00170875261059427	0	0	0	0	0	0	0.0173406746408455	0.000189861401177141	0.000126574267451427	0.000379722802354281	0	0	0.0167078033035884	0.00145560407569141	0.000506297069805708	0.0303145370546168	0.000379722802354281	0.00594899057021708	0.0202518827922283	0.0037339408898171	0.00183532687804569	0.000696158470982849	0	0.000632871337257136	0.00936649579140561	0.0013923169419657	0.000569584203531422	6.32871337257136e-05	0	0.00329093095373711	0	0.0023416239478514	0.114612999177267	0.000253148534902854	0.000126574267451427	0	0.00088601987215999	0	0.00556926776786279	0.000126574267451427	0	0.00240491108157712	0	0.00569584203531422	0.0714511739763306	0	0.00537940636668565	0.00177203974431998	0	0.00170875261059427	0.000569584203531422	0.00113916840706284	0.000316435668628568	0.0473387760268337	0.00923992152395418	0.00145560407569141	0.000822732738434276	0.00455667362825138	0	0	0.117840642997279	0	0.000822732738434276	0.000443009936079995	0.000696158470982849	0.00411366369217138	0	0	0.00120245554078856	0	0	0	0.000126574267451427	0.000632871337257136	0.00493639643060566	0	0	0.0341117650781596	0	0	0.0158850705651541	0	0.00177203974431998	0	0	0.0179102588443769	0.0610087969115879	0.000126574267451427	0	0.0160116448326055	0	0	0	0	0.000189861401177141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000126574267451427	0	0	0.000253148534902854	0	0	0	0	0	0	0	0	0	0	0	0
4004.VI.4.lib30	0.00186758801008498	0.00177420860958073	0.000653655803529741	0	0.0111121486600056	0	0.000560276403025493	0	0.00252124381361472	0.00691007563731441	0.155756840041087	0.0146605658791671	0.00205434681109347	0.00149407040806798	0.00476234942571669	0	0	0	0	0	0.0156877392847138	0.0114856662620226	0	0	0.000653655803529741	0.00634979923428892	0	0	0	0	0	0	0.0464095620506116	0.000840414604538239	0	0.000466897002521244	0	0.000280138201512746	0.0193295359043795	0.00289476141563171	0.00102717340554674	0.0470632178541414	0	0.0104584928564759	0.0297880287608554	0.00373517602016995	0.00438883182369969	0.000186758801008498	0	0.00112055280605099	0.0076571108413484	0.00112055280605099	0.000560276403025493	0.000466897002521244	0	0.00354841721916145	0	0.00252124381361472	0.147072555794192	0.000466897002521244	0.000186758801008498	0	0.000466897002521244	0	0.00961807825193762	0.000186758801008498	0	0.00410869362218695	0	0.00915118124941638	0.0795592492296199	0.000373517602016995	0.00457559062470819	0.00140069100756373	0	0.00149407040806798	0.00112055280605099	0.000653655803529741	0	0.0363245867961528	0.00513586702773368	0.00158744980857223	0.00102717340554674	0.00504248762722943	0	0	0.122140255859557	0	0.000466897002521244	0.00074703520403399	0.00130731160705948	0.00270800261462321	0	0	0.00289476141563171	0	0.000373517602016995	0	0.000466897002521244	0.000840414604538239	0.00849752544588664	0	0	0.0276403025492576	0	0	0.0110187692595014	0	0.00252124381361472	0	0	0.018395741899337	0.0537865346904473	0	0	0.0133532542721076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112055280605099	0	0	0	0	0	0	0	0	0	0	0	0
4011.3.rerun.lib32	0.0038332745858301	0.0467189519445424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000631535659734461	0	0	0	0	0	0.189005404770297	0	0.174421337093174	0	0	0	0	0	0	0	0.000102808130654447	0.00499353777464458	0	0	8.8121254846669e-05	0	0.00177711197274116	0	0	0	0.000910586300082246	0	0.000220303137116673	0.0022177182469745	0	0	0	0	0.00320173892609564	0	0	0	0	0	0	0	0	0	0.000367171895194454	0	0.00409763835037011	0	0	0	5.87475032311127e-05	0	0	0	0	0.000660909411350018	0	0	0	0	0	0	0	0	0	0	0.000293737516155563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384208671131477	0	0	0.303856773587123	0.223049582892727	0	0	0.000528727529080014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132181882270004	0	0	0	0	0	0	0	0.000411232522617789	0	0	0	0	0	0
4011.4.rerun.lib32	0.00634937862918543	0.128181472838769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00206219134964997	0	0	0	0	0	0.227736473652792	0	0.122564714820644	0.000135670483529603	0	0	0	0	0	0.000488413740706572	0	0.00415151679600586	0	0	0.000488413740706572	0.000976827481413144	0.000298475063765127	0	0	0	0	0	0	0	0	0	0	0	0.00200792315623813	0	0	0	0	0	0	0	0	0.00168231399576708	0	0.000596950127530255	0.00225213002659141	0	0	0	0.000325609160471048	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000705486514353937	0	0	8.1402290117762e-05	0	0	0	0	0	0	0	0	0	0	0	0	5.42681934118413e-05	0	0	0	0	0	0.0414880338633527	0	0	0.271965051283443	0.184620393987084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000569816030824334	0	0.000217072773647365	0	0	0	0	0
4011.III.2.lib30	0.00241747249083028	0.0479326442147382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100033344448149	0	0	0	0	0	0.123291097032344	0	0.0586862287429143	0.000166722240746916	0	0	0	0	0	0.000583527842614205	0	0.000666888962987663	0	0	0.000166722240746916	0	0.000333444481493831	0	0	0	0	0	0	0.000250083361120373	0	0	0	0	0.00250083361120373	0	0	0	0	0	0	0	0	0.00075025008336112	0.000583527842614205	0	0.00200066688896299	0	0	0	0.000250083361120373	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075025008336112	0	0.000333444481493831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501833944648216	0	0	0.436145381793931	0.270590196732244	0	0	0.000416805601867289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4013.2.lib27	0	0.0113223043529274	0	0	0.00305056904845712	0	0	0	0	0.00129062536665493	0.0263991552270327	0.00950369588173178	0.000351988736360436	0.00123196057726153	0.000527983104540655	0.00563181978176698	0	0	0.0169541241346944	0	0.00410653525753843	0.00328522820603074	0.000645312683327467	0	0	0.000351988736360436	0	0.000645312683327467	0.000117329578786812	0	0	0	0.000234659157573624	0	0	0.024697876334624	0.00410653525753843	0.00117329578786812	0.000469318315147249	0.0461691892526106	0.0122022761938285	0.237005749149361	0	0.00668778599084829	0.0190073917634636	0.000351988736360436	0.0327349524815206	0.00369588173178458	0.00111463099847472	0	0.00240525636512965	0.00140795494544175	0.00369588173178458	0.000879971840901091	0.00181860847119559	0.0029332394696703	0.00428252962571864	0.00134929015604834	0.0077437521999296	0	0	0.00164261410301537	0.000527983104540655	0	0.00533849583479995	0.000645312683327467	0.000586647893934061	0.00997301419687903	0	0.00269858031209668	0.0328522820603074	0.000938636630294497	0.000997301419687903	0.00111463099847472	0	0.00117329578786812	0.00111463099847472	0.000410653525753843	0.000410653525753843	0.0309750087997184	0.00398920567875161	0.0048691775196527	0	0.00351988736360436	0	0	0.255191833861316	0	0.00134929015604834	0	0.0067464507802417	0.0747976064765928	0.00029332394696703	0	0.000879971840901091	0	0.00363721694239118	0	0.000938636630294497	0.00187727326058899	0.0019359380499824	0.000645312683327467	0	0.00586647893934061	0	0	0	0	0	0.000175994368180218	0.00029332394696703	0.00592514372873401	0.000469318315147249	0	0	0	0	0.032500293323947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000703977472720873	0	0	0	0	0	0	0	0.000117329578786812	0	0	0	0	0	0.00029332394696703	0	0	0	0	0	0	0	0	0
4013.3.lib30	0	0.00565753836894373	0	0	0.00451399337947638	0.000240746313572073	0.000120373156786037	0	0	0.00240746313572073	0.168522419500451	0.0152272043334336	0.0029491423412579	0.00300932891965092	0.00794462834787842	0.00987059885645501	0	0	0.02293108636774	0	0.0140836593439663	0.029371050255793	0.00252783629250677	0	0	0.000180559735179055	0	0.000962985254288294	0	0	0	0	0	0	0	0.0120975022569967	0.00487511284983449	0.000782425519109239	0.000481492627144147	0.0423111646102919	0.013060487511285	0.059043033403551	0	0.0128799277761059	0.0222088474270238	0.000421306048751128	0.0201625037616611	0.00981041227806199	0.00114354498946735	0.000120373156786037	0.00734276256394824	0.00445380680108336	0.00234727655732772	0.00114354498946735	0.00186578393018357	0.00481492627144147	0.00535660547697863	0.000782425519109239	0.0155883238037918	0	0	0.000902798675895275	0.000842612097502257	0	0.00601865783930184	0.00186578393018357	0.00150466445982546	0.0105928377971712	0.00036111947035811	0.00331026181161601	0.0405657538368944	0.000541679205537165	0.000782425519109239	0.000842612097502257	0.000120373156786037	0.00108335841107433	0.000902798675895275	0.00036111947035811	0.00156485103821848	0.0302136623532952	0.00517604574179958	0.00349082154679506	0	0.00108335841107433	0	0	0.12741498645802	0	0.00114354498946735	0	0.0104122780619922	0.0418898585615408	0.000180559735179055	0.000240746313572073	0.000842612097502257	0.000180559735179055	0.00318988865482997	0.000180559735179055	0.000902798675895275	0.00036111947035811	0.000902798675895275	0.000300932891965092	0	0.0382786638579597	0	0	0	0	0	0.000601865783930184	0.00198615708696961	0.0137225398736082	0.00108335841107433	0	0	0	0.000541679205537165	0.106169124285284	0	0	0	0	0	0	0.000421306048751128	0	0	0	0	0	0	0	0.000902798675895275	0	0	0.00168522419500451	0	0	0	0	0	0	0	0	0	0	0	0	0.000240746313572073	0.000481492627144147	0	0	0	0	0	0	0	0	0
4013.4.lib30	0	0.0137407514173153	0	0	0.0195061016623427	0.000768713366003651	0	0	0	0.00687037570865763	0.110310368021524	0.0163832036129528	0.00259440761026232	0.00245027385413664	0.00369943307389257	0.010521764197175	0	0	0.0398770058614394	0	0.0106178533679254	0.0184971653694629	0.00283463053713846	0	0	0.000144133756125685	0	0.00168156048813299	0	0	0	0	0.000480445853752282	0	0	0.0171999615643317	0.00413183434226963	0.00182569424425867	0.0015374267320073	0.0474200057653502	0.0228692226386086	0.109877966753147	0	0.0182088978572115	0.0269049678101278	0.00081675795137888	0.0262323436148746	0.0114826559046795	0.00168156048813299	0	0.00840780244066494	0.00365138848851734	0.00240222926876141	0.000720668780628423	0.00168156048813299	0.00393965600076871	0.00398770058614394	0.000864802536754108	0.00725473239165946	0	0	0.00110502546363025	0.000864802536754108	0	0.00835975785528971	0.00182569424425867	0.00182569424425867	0.0107139425386759	0.00105698087825502	0.00317094263476506	0.0459786682040934	0.00134524839050639	0.00182569424425867	0.00134524839050639	0.000480445853752282	0.000720668780628423	0.00129720380513116	0.000384356683001826	0.000768713366003651	0.0342077447871625	0.00451619102527145	0.00451619102527145	0.000192178341500913	0.00158547131738253	0	0	0.130056692610743	0	0.00148938214663207	0.000144133756125685	0.00888824829441722	0.0460267127894686	0	0	0.000576535024502739	0	0.00490054770827328	0.000384356683001826	0.00177764965888344	0.000432401268377054	0.00297876429326415	0.000336312097626597	0	0.0264725665417507	0	0	0	0	0	0.00105698087825502	0.00144133756125685	0.0148938214663207	0	0	0	0.000336312097626597	9.60891707504564e-05	0.0421831459594504	0	0	0	0	0	0	0.000576535024502739	0	0	0	0	0	0	0	0.000384356683001826	0	0	0.00129720380513116	0	0	0	0	0	0	0	0	0.00052849043912751	0	0	0	0	0.000576535024502739	0	0	0	0	0	0	0	0	0
4015.2.rerun.lib32	0	0.0307631560054562	0	0.000897408284873286	0.0129226793021753	0.000394859645344246	0.000394859645344246	0	0	0	0.194127360183789	0.0410295067844066	0	0	0.00333835881972862	0	0	0	0	0	0.0183789216742049	0.0432909756622873	0.00897408284873286	0	0	0.0050254863952904	0	0	0	0.000323066982554383	0	0	0.000861511953478355	0	0	0.00836384521501903	0	0	0	0.00175892023835164	0.00244095053485534	0.0878383229233972	0	0.00674851030224711	0.0113791370521933	0.0019384018953263	0	0.00290760284298945	0	0	0.0203173235695312	0.000682030296503697	0.00621006533132314	0	0.00717926627898629	0.00341015148251849	0.000287170651159452	0.000646133965108766	0.158374614114438	0	0.00323066982554383	0	0.000358963313949314	0	0.00814846722664944	0.000610237633713834	0	0.00114868260463781	0.00563572402900424	0.0519060951970709	0.0189173666451289	0.00025127431976452	0.000933304616268217	0.00244095053485534	0.000717926627898629	0	0	0.00111278627324287	0.000179481656974657	0.0165482087730634	0.00951252781965683	0	0	0.000574341302318903	0	7.17926627898629e-05	0.110991456673128	0	0.00190250556393137	7.17926627898629e-05	0.00136406059300739	0.0594084284586115	0.000107688994184794	0	0.000825615622083423	0	0.000143585325579726	0	0.000107688994184794	0.000574341302318903	0.00075382295929356	7.17926627898629e-05	0	0	0.00294349917438438	0	0.000466652308134109	0	0	0	0	0.0142508435637878	0.000825615622083423	0	0.000179481656974657	0.000143585325579726	7.17926627898629e-05	0.000179481656974657	0	0	0	0.000969200947663149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000143585325579726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
