2025-02-18 14:32:40.907071 INFO::Writing function arguments to log file
2025-02-18 14:32:40.915553 DEBUG::Function arguments
2025-02-18 14:32:40.917619 DEBUG::Output folder: ../intermediate_files/maaslin/Q3/genus/no_ibd vs Groupibd
2025-02-18 14:32:40.919858 DEBUG::Min Abundance: 0.000000
2025-02-18 14:32:40.921535 DEBUG::Min Prevalence: 0.000000
2025-02-18 14:32:40.923066 DEBUG::Normalization: TSS
2025-02-18 14:32:40.924558 DEBUG::Transform: LOG
2025-02-18 14:32:40.926027 DEBUG::Analysis method: LM
2025-02-18 14:32:40.927679 DEBUG::Max significance: 0.050000
2025-02-18 14:32:40.929235 DEBUG::Random effects: Patient
2025-02-18 14:32:40.930732 DEBUG::Fixed effects: Group,Country
2025-02-18 14:32:40.93222 DEBUG::Correction method: BH
2025-02-18 14:32:40.935236 DEBUG::Standardize: TRUE
2025-02-18 14:32:40.938479 DEBUG::Cores: 1
2025-02-18 14:32:40.941616 INFO::Verifying options selected are valid
2025-02-18 14:32:40.948951 INFO::Determining format of input files
2025-02-18 14:32:40.956143 INFO::Input format is data samples as columns and metadata samples as rows
2025-02-18 14:32:40.969518 DEBUG::Transformed data so samples are rows
2025-02-18 14:32:40.973391 DEBUG::A total of 337 samples were found in both the data and metadata
2025-02-18 14:32:40.975601 DEBUG::Reordering data/metadata to use same sample ordering
2025-02-18 14:32:40.979932 INFO::Formula for random effects: expr ~ (1 | Patient)
2025-02-18 14:32:40.984681 INFO::Formula for fixed effects: expr ~  Group + Country
2025-02-18 14:32:40.990834 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-02-18 14:32:40.996705 INFO::Filter data based on min abundance and min prevalence
2025-02-18 14:32:41.001003 INFO::Total samples in data: 337
2025-02-18 14:32:41.005376 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-02-18 14:32:41.013876 INFO::Total filtered features: 0
2025-02-18 14:32:41.018275 INFO::Filtered feature names from abundance and prevalence filtering:
2025-02-18 14:32:41.032942 INFO::Total filtered features with variance filtering: 0
2025-02-18 14:32:41.03812 INFO::Filtered feature names from variance filtering:
2025-02-18 14:32:41.04204 INFO::Running selected normalization method: TSS
2025-02-18 14:32:41.056269 INFO::Applying z-score to standardize continuous metadata
2025-02-18 14:32:41.065919 INFO::Running selected transform method: LOG
2025-02-18 14:32:41.084798 INFO::Running selected analysis method: LM
2025-02-18 14:32:41.09705 INFO::Fitting model to feature number 1, Actinomyces
2025-02-18 14:32:41.265453 INFO::Fitting model to feature number 2, Bifidobacterium
2025-02-18 14:32:41.416391 INFO::Fitting model to feature number 3, Rothia
