feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Rothia	Country	NO	-3.23922075177102	0.369465992842865	337	112	6.2931131779269e-15	2.00120999058075e-12
Actinomyces	Country	NO	-3.0682046155108	0.427333395876404	337	133	3.88305953190677e-11	6.17406465573177e-09
X.Clostridium._innocuum_group	Country	NO	-3.19552133059737	0.539991776459204	337	124	2.44024690034503e-08	2.58666171436573e-06
Gordonibacter	Country	NO	-1.08414640176233	0.220130301313712	337	40	2.37280228273781e-06	0.000188637781477656
Lacticaseibacillus	Country	NO	-1.18744140755826	0.27116729568406	337	45	2.30920931377811e-05	0.00146865712356288
Streptococcus	Country	NO	-1.74559249692552	0.442785754348347	337	320	0.000124686256951675	0.00660837161843879
Enterococcus	Country	NO	-2.53612571853941	0.697721512033841	337	115	0.00038824470793765	0.017632647974559
Lachnospiraceae_UCG.004	Country	NO	1.80676607606726	0.507023098618147	337	252	0.000499037206827141	0.017632647974559
Parasediminibacterium	Country	NO	0.592212451002174	0.166165110372956	337	44	0.000472664394316737	0.017632647974559
o__Lactobacillales.f__unassigned.g__unassigned	Country	NO	-1.39035766310956	0.397366336763465	337	118	0.000629057437928325	0.0187896582964889
Hydrogenoanaerobacterium	Group	ibd	-0.29367014472123	0.0844735010916078	337	7	0.000649956733526346	0.0187896582964889
Faecalibacterium	Country	NO	2.08238630001405	0.608207704761484	337	304	0.000808471373793524	0.0214244914055284
Acidaminococcus	Country	NO	-1.18037489540631	0.365890143493525	337	35	0.00156030819929622	0.0330785338250798
Burkholderia.Caballeronia.Paraburkholderia	Country	NO	0.672871231281826	0.207395424373306	337	54	0.00144448061793837	0.0330785338250798
Dyella	Country	NO	0.60665468404208	0.188014638147277	337	37	0.00150747783513916	0.0330785338250798
Akkermansia	Group	ibd	-2.36768589981494	0.76215725598096	337	131	0.0021559830470741	0.0428501630605978
