2025-02-15 17:21:53.378917 INFO::Writing function arguments to log file
2025-02-15 17:21:53.383917 DEBUG::Function arguments
2025-02-15 17:21:53.385846 DEBUG::Output folder: ../intermediate_files/maaslin/Q1/genus/pre_ltx vs Grouppost_ltx
2025-02-15 17:21:53.387565 DEBUG::Min Abundance: 0.000000
2025-02-15 17:21:53.389221 DEBUG::Min Prevalence: 0.000000
2025-02-15 17:21:53.391329 DEBUG::Normalization: TSS
2025-02-15 17:21:53.393392 DEBUG::Transform: LOG
2025-02-15 17:21:53.395258 DEBUG::Analysis method: LM
2025-02-15 17:21:53.39701 DEBUG::Max significance: 0.050000
2025-02-15 17:21:53.398683 DEBUG::Random effects: Patient
2025-02-15 17:21:53.400375 DEBUG::Fixed effects: Group,Country
2025-02-15 17:21:53.402055 DEBUG::Correction method: BH
2025-02-15 17:21:53.404149 DEBUG::Standardize: TRUE
2025-02-15 17:21:53.405902 DEBUG::Cores: 1
2025-02-15 17:21:53.407905 INFO::Verifying options selected are valid
2025-02-15 17:21:53.412906 INFO::Determining format of input files
2025-02-15 17:21:53.417399 INFO::Input format is data samples as columns and metadata samples as rows
2025-02-15 17:21:53.433357 DEBUG::Transformed data so samples are rows
2025-02-15 17:21:53.436939 DEBUG::A total of 600 samples were found in both the data and metadata
2025-02-15 17:21:53.438621 DEBUG::Reordering data/metadata to use same sample ordering
2025-02-15 17:21:53.443243 INFO::Formula for random effects: expr ~ (1 | Patient)
2025-02-15 17:21:53.44789 INFO::Formula for fixed effects: expr ~  Group + Country
2025-02-15 17:21:53.452149 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-02-15 17:21:53.456794 INFO::Filter data based on min abundance and min prevalence
2025-02-15 17:21:53.46097 INFO::Total samples in data: 600
2025-02-15 17:21:53.464989 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-02-15 17:21:53.475529 INFO::Total filtered features: 0
2025-02-15 17:21:53.479978 INFO::Filtered feature names from abundance and prevalence filtering:
2025-02-15 17:21:53.495807 INFO::Total filtered features with variance filtering: 0
2025-02-15 17:21:53.500414 INFO::Filtered feature names from variance filtering:
2025-02-15 17:21:53.505443 INFO::Running selected normalization method: TSS
2025-02-15 17:21:53.52341 INFO::Applying z-score to standardize continuous metadata
2025-02-15 17:21:53.534229 INFO::Running selected transform method: LOG
2025-02-15 17:21:53.561637 INFO::Running selected analysis method: LM
2025-02-15 17:21:53.570862 INFO::Fitting model to feature number 1, Actinomyces
2025-02-15 17:21:53.698978 INFO::Fitting model to feature number 2, Bifidobacterium
2025-02-15 17:21:53.849364 INFO::Fitting model to feature number 3, Corynebacterium
2025-02-15 17:21:53.981681 INFO::Fitting model to feature number 4, Rothia
2025-02-15 17:21:54.138279 INFO::Fitting model to feature number 5, Olsenella
2025-02-15 17:21:54.276415 INFO::Fitting model to feature number 6, Collinsella
2025-02-15 17:21:54.413455 INFO::Fitting model to feature number 7, Adlercreutzia
2025-02-15 17:21:54.580645 INFO::Fitting model to feature number 8, Eggerthella
2025-02-15 17:21:54.730299 INFO::Fitting model to feature number 9, Senegalimassilia
2025-02-15 17:21:54.876926 INFO::Fitting model to feature number 10, Slackia
2025-02-15 17:21:55.076489 INFO::Fitting model to feature number 11, f__Eggerthellaceae.g__uncultured
2025-02-15 17:21:55.246208 INFO::Fitting model to feature number 12, Bacteroides
2025-02-15 17:21:55.424791 INFO::Fitting model to feature number 13, Barnesiella
2025-02-15 17:21:55.59131 INFO::Fitting model to feature number 14, Coprobacter
2025-02-15 17:21:55.753063 INFO::Fitting model to feature number 15, Butyricimonas
2025-02-15 17:21:55.924486 INFO::Fitting model to feature number 16, Odoribacter
2025-02-15 17:21:56.097841 INFO::Fitting model to feature number 17, Paraprevotella
2025-02-15 17:21:56.236263 INFO::Fitting model to feature number 18, Prevotella_7
2025-02-15 17:21:56.411269 INFO::Fitting model to feature number 19, Prevotella_9
2025-02-15 17:21:56.61048 INFO::Fitting model to feature number 20, Alistipes
2025-02-15 17:21:56.963043 INFO::Fitting model to feature number 21, Parabacteroides
2025-02-15 17:21:57.112958 INFO::Fitting model to feature number 22, Gastranaerophilales
2025-02-15 17:21:57.227431 INFO::Fitting model to feature number 23, Bilophila
2025-02-15 17:21:57.427841 INFO::Fitting model to feature number 24, Desulfovibrio
2025-02-15 17:21:57.646176 INFO::Fitting model to feature number 25, f__Desulfovibrionaceae.g__uncultured
2025-02-15 17:21:57.843531 INFO::Fitting model to feature number 26, Erysipelatoclostridium
2025-02-15 17:21:58.045991 INFO::Fitting model to feature number 27, Erysipelotrichaceae_UCG.003
2025-02-15 17:21:58.246879 INFO::Fitting model to feature number 28, Faecalitalea
2025-02-15 17:21:58.451738 INFO::Fitting model to feature number 29, Holdemanella
2025-02-15 17:21:58.65376 INFO::Fitting model to feature number 30, Merdibacter
2025-02-15 17:21:58.861602 INFO::Fitting model to feature number 31, Turicibacter
2025-02-15 17:21:59.061574 INFO::Fitting model to feature number 32, X.Clostridium._innocuum_group
