feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacteriota	Country	NO	-3.0306057638057	0.231360674893722	511	505	4.1835450996739e-30	6.69367215947824e-29
Desulfobacterota	Group	post_ltx	-2.00410355657371	0.445188184652574	511	347	1.03394237204853e-05	8.27153897638822e-05
Fusobacteriota	Group	post_ltx	1.71354795341129	0.449302861455329	511	213	0.000172114501213106	0.000688458004852422
Proteobacteria	Group	post_ltx	0.82732776544471	0.214521581134085	511	510	0.000146559407312676	0.000688458004852422
Proteobacteria	Country	NO	0.792013236397355	0.21519378355579	511	510	0.000286569894283736	0.000917023661707954
Cyanobacteria	Group	post_ltx	-1.22550544699297	0.382620853289905	511	157	0.00153847223225932	0.00410259261935817
Bacteroidota	Group	post_ltx	-0.866707885776348	0.279957308174509	511	500	0.00218689719024919	0.00499862214914101
Verrucomicrobiota	Group	post_ltx	-1.50088391629004	0.534619972006073	511	226	0.00539087769094488	0.0107817553818898
Firmicutes	Group	post_ltx	-0.147212560562489	0.0647223289338999	511	511	0.0237779855201862	0.0422719742581089
Desulfobacterota	Country	NO	-0.919572309778268	0.446869292019731	511	347	0.0406597670160796	0.0650556272257274
Verrucomicrobiota	Country	NO	0.753986910559421	0.537449564821334	511	226	0.161906468673944	0.235500318071191
Actinobacteriota	Group	post_ltx	-0.276967778529429	0.230938641014281	511	505	0.231533190761927	0.300436879354715
Bacteroidota	Country	NO	-0.328711573555332	0.281534664070726	511	500	0.244104964475706	0.300436879354715
Cyanobacteria	Country	NO	0.366794885892399	0.384860115306843	511	157	0.341493723661763	0.341493723661763
Firmicutes	Country	NO	-0.0666556862556129	0.0648252230537685	511	511	0.30485057207714	0.341493723661763
Fusobacteriota	Country	NO	-0.44026743417274	0.449988157416784	511	213	0.328836883030385	0.341493723661763
