feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacteriota	Country	NO	-2.71242585980258	0.353751178698057	337	333	2.33321447814833e-12	4.66642895629666e-11
Verrucomicrobiota	Group	ibd	-2.42318978050273	0.765506343387686	337	138	0.00178768953907013	0.0178768953907013
Cyanobacteria	Group	ibd	-1.24959510358139	0.449343299659895	337	39	0.00606945853815818	0.0404630569210546
Bacteroidota	Country	NO	1.05455158687726	0.486418421723613	337	325	0.031831493198886	0.15915746599443
Fusobacteriota	Country	NO	-1.01087748226685	0.5294125003527	337	114	0.0582122416534912	0.232848966613965
Actinobacteriota	Group	ibd	0.42555471999991	0.409161567599312	337	333	0.29971107072365	0.548415956882837
Desulfobacterota	Country	NO	0.783273723501428	0.658422588864955	337	151	0.23618825964536	0.548415956882837
Fusobacteriota	Group	ibd	0.72949817750716	0.609712720260843	337	114	0.233088142217656	0.548415956882837
Campylobacterota	Country	NO	-0.267589431480502	0.258121246669624	337	51	0.30162877628556	0.548415956882837
Synergistota	Group	ibd	-0.18949891894547	0.173514757543917	337	22	0.276346959263008	0.548415956882837
Synergistota	Country	NO	0.191982371554777	0.146347547701007	337	22	0.191526940774491	0.548415956882837
Desulfobacterota	Group	ibd	-0.59466904522564	0.654898753598345	337	151	0.364655178150678	0.60775863025113
Cyanobacteria	Country	NO	-0.255864617040786	0.379896298947317	337	39	0.501696943145152	0.771841450992541
Bacteroidota	Group	ibd	-0.259093310763167	0.520835632929656	337	325	0.619343116410251	0.799251737755057
Proteobacteria	Group	ibd	0.222164576638243	0.426573683594591	337	335	0.603038148556619	0.799251737755057
Campylobacterota	Group	ibd	0.144137596729771	0.307018979895274	337	51	0.639401390204045	0.799251737755057
Firmicutes	Group	ibd	-0.0401559733709596	0.112361605416511	337	337	0.72122478941004	0.848499752247106
Firmicutes	Country	NO	0.0280111826876159	0.0970928007273734	337	337	0.773373657161807	0.859304063513119
Verrucomicrobiota	Country	NO	-0.112132940202396	0.686310198221059	337	138	0.870447346675254	0.91626036492132
Proteobacteria	Country	NO	0.0107633434935215	0.388520974489874	337	335	0.97793752069726	0.97793752069726
