feature	Actinobacteriota	Bacteroidota	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Cyanobacteria	Synergistota
4004.III.2.lib30	542	13891	0	26523	86	6485	0	0	0	0
4004.V.3.lib30	204	5007	0	9110	28	1502	0	0	0	0
4004.VI.4.lib30	337	2205	0	7295	27	916	0	0	0	0
4011.3.rerun.lib32	3442	0	0	26150	0	38520	36	0	0	0
4011.4.rerun.lib32	4979	0	0	13558	0	18397	0	0	0	0
4011.III.2.lib30	604	0	0	2319	0	9080	5	0	0	0
4013.2.lib27	267	1169	11	14962	0	117	554	0	0	2
4013.3.lib30	215	4572	45	9757	0	302	1764	0	7	0
4013.4.lib30	856	4502	62	14235	0	371	878	0	12	0
4015.2.rerun.lib32	1266	8389	250	17525	0	439	5	0	0	0
4015.3.lib30	698	11859	207	20378	0	440	0	0	0	0
4015.4.lib30	928	9857	188	20711	0	434	0	0	0	0
4016.2.rerun.lib32	3385	20	0	45239	0	405	0	0	0	0
4016.4.rerun.lib32	2905	0	0	17388	0	14	0	0	0	0
4018.2.rerun.lib32	1332	482	0	29833	417	7920	10	91	0	0
4018.4.rerun.lib32	251	465	0	28837	280	2868	0	16	0	0
4020.2.lib29	791	11877	251	22774	2	906	5	0	231	0
4020.3.lib30	110	2612	80	6985	0	219	0	0	85	0
4020.4.lib30	341	11902	217	20219	0	727	0	0	208	0
4022.2.lib27	29	12823	0	6649	0	405	0	0	0	0
4022.4.lib30	44	7275	0	5835	0	414	0	0	0	0
4023.2.lib27	103	21237	0	25620	437	5347	0	9	5	0
4023.3.rerun.lib32	68	7471	0	8366	18	2023	27	0	0	0
4023.4.lib30	81	25728	0	25700	221	4918	0	0	0	0
4024.2.lib27	582	5129	0	28613	0	182	28	0	0	0
4024.3.lib30	904	4232	0	19475	0	142	20	0	0	0
4024.4.lib30	813	4511	0	18718	0	86	0	0	0	0
4027.4.lib30	136	15795	0	20574	0	1544	0	0	0	0
4028.2.lib27	816	9602	178	17601	0	255	7	0	0	0
4028.3.lib30	1181	20703	204	33380	0	550	18	0	0	0
4028.4.lib30	889	11119	269	17842	0	361	10	0	0	0
4029.2.lib29	13	177	6	542	0	29247	0	0	0	0
4029.3.lib29	60	303	0	1420	0	18413	0	0	0	0
4029.4.lib29	24	337	0	2701	0	46451	0	0	0	0
4030.2.rerun.lib32	186	11931	0	25553	5	296	0	0	0	0
4030.3.rerun.lib32	196	18121	0	30024	0	567	0	0	0	0
4030.4.lib30	182	24790	0	48869	11	974	0	0	0	0
4034.2.lib29	205	3838	0	16091	0	1195	0	0	0	0
4034.3.lib29	89	3863	0	11617	0	761	38	0	0	0
4034.4.lib29	93	7924	0	12312	0	705	0	0	0	0
4035.2.lib27	286	5248	181	14661	0	178	0	0	0	0
4035.3.lib30	364	6200	158	11807	0	383	0	0	0	0
4035.4.lib30	532	8054	397	20058	0	738	0	0	0	0
4036.2.lib27	13	4760	66	9291	0	957	9459	0	0	0
4036.4.lib30	128	22666	275	18559	0	2286	22868	0	0	0
4037.2.lib27	206	9409	187	28443	2	20051	133	5	0	0
4037.3.lib30	49	3281	51	6707	5	438	36	0	5	0
4041.2.lib29	1515	4017	0	12014	0	297	61	0	0	0
4041.3.lib29	1367	2842	0	9779	0	175	46	0	0	0
4041.4.lib29	1584	6599	0	16709	0	370	74	0	0	0
4042.2.lib27	1431	33184	280	63716	0	3099	205	0	0	0
4042.3.lib30	1003	12352	79	27198	0	1220	61	0	0	0
4042.4.lib30	1169	16065	148	36171	0	1581	135	0	0	0
4051.2.lib27	1504	17021	174	36289	6	884	0	0	0	0
4051.3.lib30	1626	9463	239	19949	0	526	0	0	0	0
4051.4.lib30	471	7332	101	9256	0	203	0	0	0	0
4054.2.lib27	972	10579	0	37183	0	1522	0	0	0	0
4054.3.lib30	2119	8694	0	34534	0	2512	0	0	0	0
4054.4.lib30	431	3150	0	11533	0	738	0	0	0	0
4056.2.lib27	256	10805	243	27067	0	569	0	0	0	0
4056.3.lib30	629	17849	229	31972	0	1603	0	10	0	0
4056.4.lib30	180	13298	243	14686	0	609	0	0	0	0
4058.3.lib30	870	659	0	52694	0	2543	0	0	0	0
4058.4.lib30	761	1341	0	59266	0	3147	0	46	0	0
4060.2.lib27	620	13572	14	24309	0	1028	0	0	0	0
4060.3.lib30	1442	15876	4	31297	0	944	0	0	0	0
4060.4.lib30	319	7367	0	10361	0	573	0	0	0	0
4061.2.lib29	65	7575	0	13757	22	8067	0	0	0	0
4061.3.lib29	89	10744	0	16252	13	6822	0	0	0	0
4061.4.lib29	132	19025	0	18237	22	7824	0	0	0	0
4063.3.lib30	0	26914	0	31850	0	265	0	0	0	0
4063.4.lib30	0	8370	0	18180	0	126	0	0	0	0
4064.2.lib27	25	1747	9	12165	0	146	1307	0	0	0
4064.4.lib30	168	4348	18	24413	3	491	2351	0	0	0
4065.2.lib27	262	2610	38	11222	0	298	0	0	0	0
4065.3.rerun.lib32	672	4273	71	11811	0	520	0	0	0	0
4065.4.lib30	300	8877	76	13799	0	576	0	0	0	0
4068.2.lib27	81	2056	11	13698	13	954	0	0	0	0
4068.4.lib30	65	3616	6	11341	11	854	0	0	0	0
4070.2.lib29	83	4875	0	7660	0	2437	0	0	0	0
4070.3.lib30	141	9748	0	12900	0	2568	0	0	0	0
4070.4.rerun.lib32	1581	839	0	47077	0	4176	0	0	0	0
4072.2.lib27	681	5977	144	12903	11	6899	25	0	0	0
4072.3.lib30	2460	18200	378	32182	50	5025	46	0	0	0
4072.4.lib30	391	3186	44	6918	9	1364	9	0	0	0
4075.2.lib27	440	9821	166	36296	0	487	705	5	180	0
4075.3.rerun.lib32	173	2570	137	17570	0	293	284	0	51	0
4075.4.lib30	266	9793	213	20713	3	613	820	0	201	0
4076.2.lib27	2012	3944	496	22847	16	8447	128	5	0	47
4076.3.lib30	1397	3439	273	9898	0	1473	26	0	0	0
4076.4.rerun.lib32	6076	591	455	22475	0	865	76	0	0	108
4077.2.lib27	471	9918	0	44573	24	8139	0	0	0	0
4080.2.lib27	134	294	0	56320	0	645	22169	3	0	0
4080.3.lib30	206	323	0	50703	0	888	5580	8	0	0
4080.4.lib30	124	160	0	28776	0	535	2422	8	0	0
4082.2.lib29	147	7156	41	25051	8188	1273	262	0	0	63
4082.3.lib29	209	17706	118	37417	7686	2505	1599	0	0	93
4082.4.lib29	144	24521	99	29688	10696	3069	1968	0	0	49
4083.3.lib30	1126	9640	341	28305	0	548	0	3	0	0
4083.4.lib30	716	3709	108	15931	3	317	0	3	0	0
4084.2.lib29	400	7615	865	22390	3	1364	45	0	0	13
4084.3.lib29	343	13317	949	24146	10	2647	40	6	0	18
4084.4.lib29	538	15605	908	27572	0	3142	67	0	0	17
4086.2.lib27	73	3123	0	29307	0	1827	30081	0	0	15
4086.3.lib30	119	8154	0	31203	0	1831	48081	0	0	65
4086.4.lib30	16	1398	0	5479	0	479	3648	0	0	7
4092.2.lib27	205	25555	0	59549	66	3526	20	0	0	0
4092.3.lib30	120	12045	0	22431	9	702	9	0	0	0
4096.2.rerun.lib32	296	6111	62	20714	21	2142	0	0	0	0
4096.4.rerun.lib32	688	9763	116	20450	41	2462	0	0	0	0
4097.2.lib27	279	2361	147	8999	0	4426	0	0	18	0
4097.3.lib30	1092	19424	743	40485	0	5269	0	0	99	0
4111.2.lib27	307	15092	71	18169	28	1434	3	0	0	52
4111.3.lib30	633	23479	57	31036	35	2287	0	0	0	38
4111.4.rerun.lib32	618	3275	178	21346	33	617	8	0	0	85
4113.3.lib27	18	824	168	10534	0	200	9	0	0	0
4113.4.lib30	267	17292	791	34993	0	1301	36	0	0	0
4114.2.lib27	159	3680	0	34440	0	8	0	0	0	0
4114.3.rerun.lib32	31	7270	0	16842	0	190	0	0	0	0
4114.4.rerun.lib32	146	1809	0	26208	0	252	0	0	0	0
