feature	Actinobacteriota	Bacteroidota	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Cyanobacteria	Synergistota
4004.III.2.lib30	0.011404044017085	0.292275969448945	0	0.558061733330528	0.00180949775916847	0.136448755444274	0	0	0	0
4004.V.3.lib30	0.0128698504826194	0.315879124345467	0	0.574727146552268	0.00176645006624188	0.0947574285534036	0	0	0	0
4004.VI.4.lib30	0.0312615955473098	0.204545454545455	0	0.676716141001855	0.00250463821892393	0.0849721706864564	0	0	0	0
4011.3.rerun.lib32	0.0505077184950402	0	0	0.383723660268827	0	0.565240359218172	0.000528262017960909	0	0	0
4011.4.rerun.lib32	0.13480803595603	0	0	0.367087236692479	0	0.498104727351492	0	0	0	0
4011.III.2.lib30	0.0502998001332445	0	0	0.193121252498334	0	0.75616255829447	0.0004163890739507	0	0	0
4013.2.lib27	0.015630488233228	0.0684346095304999	0.000643952698747219	0.875892752605081	0	0.00684931506849315	0.0324317995550872	0	0	0.000117082308863131
4013.3.lib30	0.0129036130116433	0.274396831112712	0.00270075621173929	0.585583963509783	0	0.0181250750210059	0.10586964350018	0	0.000420117632937222	0
4013.4.lib30	0.0409256071906674	0.215241920061197	0.00296423790399694	0.680579460699943	0	0.0177376171352075	0.0419774335436986	0	0.00057372346528973	0
4015.2.rerun.lib32	0.045418669728062	0.300961469469757	0.00896893162086532	0.628722106622659	0	0.0157494439262395	0.000179378632417306	0	0	0
4015.3.lib30	0.0207849443154071	0.353135608361622	0.00616401643737717	0.606813173724019	0	0.0131022571615747	0	0	0	0
4015.4.lib30	0.0288934553832742	0.306899557880316	0.00585341553023227	0.644840899184258	0	0.0135126720219192	0	0	0	0
4016.2.rerun.lib32	0.0690126200330282	0.000407755509796326	0	0.9223225753838	0	0.0082570490733756	0	0	0	0
4016.4.rerun.lib32	0.143054119269218	0	0	0.856256463288521	0	0.000689417442261289	0	0	0	0
4018.2.rerun.lib32	0.0332293875514532	0.0120244480478982	0	0.744243482599476	0.0104028938505675	0.19758014219783	0.000249469876512411	0.00227017587626294	0	0
4018.4.rerun.lib32	0.00767185255371825	0.0142127945716294	0	0.881407219488339	0.00855824189259406	0.0876608490998563	0	0.000489042393862518	0	0
4020.2.lib29	0.0214729755408964	0.322420392540109	0.00681380134104297	0.618237098569373	5.42932377772348e-05	0.0245948367130874	0.000135733094443087	0	0.00627086896327062	0
4020.3.lib30	0.0109008026954712	0.25884451491428	0.00792785650579724	0.692200971162422	0	0.02170250718462	0	0	0.00842334753740957	0
4020.4.lib30	0.0101445826143869	0.354078657702148	0.00645564348188255	0.601505325162135	0	0.0216278931397632	0	0	0.00618789789968466	0
4022.2.lib27	0.00145684718175424	0.644177634883955	0	0.334019893499447	0	0.0203456244348438	0	0	0	0
4022.4.lib30	0.00324292452830189	0.536188089622642	0	0.430056014150943	0	0.0305129716981132	0	0	0	0
4023.2.lib27	0.00195231055005876	0.40253610826794	0	0.485613556237917	0.00828310398422988	0.101349558360817	0	0.000170590242238144	9.47723567989689e-05	0
4023.3.rerun.lib32	0.0037834529572136	0.415679074166806	0	0.465475991765426	0.00100150225338007	0.112557725477105	0.00150225338007011	0	0	0
