feature	Actinobacteriota	Bacteroidota	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Cyanobacteria	Synergistota
4004.III.2.lib30	-6.45431067689203	-1.77459687738215	-15.3570708427733	-0.841503371679592	-9.11019496354381	-2.87356885910684	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4004.V.3.lib30	-6.27986089684055	-1.66255549872829	-15.3570708427733	-0.799050900122632	-9.14493131675444	-3.39961714129777	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4004.VI.4.lib30	-4.99946477645801	-2.28950661719498	-15.3570708427733	-0.563377294834615	-8.6411820554764	-3.55686576954292	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4011.3.rerun.lib32	-4.30735231510581	-13.407666097055	-15.3570708427733	-1.38186037112435	-15.8345698072174	-0.823063614415196	-10.8864586957037	-15.6948838192602	-16.0232923212568	-14.0601892784634
4011.4.rerun.lib32	-2.89102159622841	-13.407666097055	-15.3570708427733	-1.44580514084373	-15.8345698072174	-1.00547899165805	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4011.III.2.lib30	-4.31330352229561	-13.407666097055	-15.3570708427733	-2.37242115697468	-15.8345698072174	-0.403231679442411	-11.2297801667333	-15.6948838192602	-16.0232923212568	-14.0601892784634
4013.2.lib27	-5.99949334677587	-3.86913006393177	-10.6007576598261	-0.191173862911331	-15.8345698072174	-7.18982455888002	-4.94644711241423	-15.6948838192602	-16.0232923212568	-13.0601892784634
4013.3.lib30	-6.27608111295054	-1.86566427432552	-8.53242086621033	-0.772052049601641	-15.8345698072174	-5.78586922321492	-3.23963911698248	-15.6948838192602	-11.2169190404824	-14.0601892784634
4013.4.lib30	-4.61085236844569	-2.21596901339269	-8.39812304445997	-0.555164482217213	-15.8345698072174	-5.81704397822604	-4.57424222531148	-15.6948838192602	-10.7673568541257	-14.0601892784634
4015.2.rerun.lib32	-4.46057073834977	-1.73234929681621	-6.80084814311602	-0.669505603992759	-15.8345698072174	-5.98855529824275	-12.4447043328907	-15.6948838192602	-16.0232923212568	-14.0601892784634
4015.3.lib30	-5.58831730690716	-1.50170579257604	-7.34191357561748	-0.720675688504778	-15.8345698072174	-6.25404081959215	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4015.4.lib30	-5.11311344290858	-1.70416152742879	-7.41650558635851	-0.632984844850481	-15.8345698072174	-6.20954320559167	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4016.2.rerun.lib32	-3.85699598448884	-11.2600080080638	-15.3570708427733	-0.116656684237282	-15.8345698072174	-6.92015800517922	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4016.4.rerun.lib32	-2.80536705396371	-13.407666097055	-15.3570708427733	-0.223885121977516	-15.8345698072174	-10.502334580198	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4018.2.rerun.lib32	-4.9113964867124	-6.3778855175537	-15.3570708427733	-0.426153412166187	-6.58687128033899	-2.33949013881669	-11.9688467588963	-8.78298021358496	-16.0232923212568	-14.0601892784634
4018.4.rerun.lib32	-7.02620929137377	-6.13666593932915	-15.3570708427733	-0.182119381302001	-6.86846982837958	-3.51192353662264	-15.0150011765143	-10.9977528453245	-16.0232923212568	-14.0601892784634
4020.2.lib29	-5.54133406841261	-1.63298510013414	-7.19732439893462	-0.693767866255476	-14.1688679528854	-5.34550071283916	-12.846939857998	-15.6948838192602	-7.31711891146934	-14.0601892784634
4020.3.lib30	-6.51942181604431	-1.94984234802254	-6.97885343468161	-0.530737129272145	-15.8345698072174	-5.5259944699678	-15.0150011765143	-15.6948838192602	-6.89139059343127	-14.0601892784634
4020.4.lib30	-6.62314668126385	-1.49785820782391	-7.27522337784354	-0.733350585165152	-15.8345698072174	-5.53096305636843	-15.0150011765143	-15.6948838192602	-7.33633489214693	-14.0601892784634
4022.2.lib27	-9.422934733058	-0.63446952203084	-15.3570708427733	-1.58199406584576	-15.8345698072174	-5.61913763041359	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4022.4.lib30	-8.2684888359259	-0.899188921880191	-15.3570708427733	-1.21740351396849	-15.8345698072174	-5.03443349706387	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4023.2.lib27	-9.00060172694864	-1.31280989331827	-15.3570708427733	-1.04211939890284	-6.91561278463126	-3.30258829273324	-15.0150011765143	-12.5171772526895	-13.3651741592445	-14.0601892784634
4023.3.rerun.lib32	-8.04608077763594	-1.26645797226945	-15.3570708427733	-1.10322133624225	-9.96361861744397	-3.151263014328	-9.37865611672282	-15.6948838192602	-16.0232923212568	-14.0601892784634
4023.4.lib30	-9.44988739818252	-1.13868570988822	-15.3570708427733	-1.14025666209854	-8.00183484167571	-3.52588138147106	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4024.2.lib27	-5.89085448481862	-2.75126797174959	-15.3570708427733	-0.271346679694257	-15.8345698072174	-7.56793518752821	-10.2683749056693	-15.6948838192602	-16.0232923212568	-14.0601892784634
4024.3.lib30	-4.77630200606765	-2.54935705636881	-15.3570708427733	-0.347145260646441	-15.8345698072174	-7.44673384897815	-10.2745528735955	-15.6948838192602	-16.0232923212568	-14.0601892784634
4024.4.lib30	-4.89130917119364	-2.41918914254931	-15.3570708427733	-0.366282041117707	-15.8345698072174	-8.13215595856657	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4027.4.lib30	-8.12810807575989	-1.26839060037599	-15.3570708427733	-0.887036227353435	-15.8345698072174	-4.62311387974214	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4028.2.lib27	-5.12417200652641	-1.56747812783932	-7.32086391753151	-0.693227571105389	-15.8345698072174	-6.80224391163905	-11.9892424264403	-15.6948838192602	-16.0232923212568	-14.0601892784634
4028.3.lib30	-5.56827310615433	-1.43651413718934	-8.10164101357999	-0.747370021301525	-15.8345698072174	-6.67077854713946	-11.6041413541092	-15.6948838192602	-16.0232923212568	-14.0601892784634
4028.4.lib30	-5.10000892106734	-1.45530910688284	-6.82458616734049	-0.77305880704254	-15.8345698072174	-6.40019350300994	-11.5741204350097	-15.6948838192602	-16.0232923212568	-14.0601892784634
4029.2.lib29	-11.1715136342121	-7.40434780227015	-12.286990851632	-5.78980431099927	-15.8345698072174	-0.0359523244184555	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4029.3.lib29	-8.39489136644259	-6.05860797857815	-15.3570708427733	-3.83010674765906	-15.8345698072174	-0.133344880717715	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4029.4.lib29	-11.0105572438828	-7.19891496342207	-15.3570708427733	-4.19624182009496	-15.8345698072174	-0.092097709684187	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4030.2.rerun.lib32	-7.67345156255363	-1.6701830261353	-15.3570708427733	-0.571405316215559	-12.8906822787743	-7.00315700803271	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4030.3.rerun.lib32	-7.96307300503578	-1.43240789748269	-15.3570708427733	-0.703954274264014	-15.8345698072174	-6.43057792420876	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4030.4.lib30	-8.68345739386799	-1.5937813830926	-15.3570708427733	-0.614620071311851	-12.7318204154294	-6.26347407198434	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4034.2.lib29	-6.70104860723864	-2.47438971054871	-15.3570708427733	-0.406562339839887	-15.8345698072174	-4.15773380387598	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4034.3.lib29	-7.52285699877893	-2.0830844675134	-15.3570708427733	-0.494640498142056	-15.8345698072174	-4.42683778624178	-8.75066291630174	-15.6948838192602	-16.0232923212568	-14.0601892784634
4034.4.lib29	-7.82127679946304	-1.40842244568158	-15.3570708427733	-0.77265809424286	-15.8345698072174	-4.89895616328491	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4035.2.lib27	-6.16726022590446	-1.96957955806476	-6.82728567559964	-0.487435672715016	-15.8345698072174	-6.85139813171645	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4035.3.lib30	-5.69921967997884	-1.60896182001593	-6.90323357200043	-0.679659498749086	-15.8345698072174	-5.62581373825258	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4035.4.lib30	-5.80672525205612	-1.88651793061155	-6.22901249041435	-0.570117547218748	-15.8345698072174	-5.33453068149691	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4036.2.lib27	-10.8827606044681	-2.3664544644139	-8.53880620325075	-1.40158215421338	-15.8345698072174	-4.68082520812318	-1.37572836720471	-15.6948838192602	-16.0232923212568	-14.0601892784634
4036.4.lib30	-9.02717167970213	-1.55892948734196	-7.92388387129011	-1.84734032319517	-15.8345698072174	-4.86856199148765	-1.54612910476838	-15.6948838192602	-16.0232923212568	-14.0601892784634
4037.2.lib27	-8.14806928003422	-2.63474412284318	-8.2876753473298	-1.03878378771544	-14.8345698072174	-1.54318323791724	-8.77928737171625	-13.5126417123301	-16.0232923212568	-14.0601892784634
4037.3.lib30	-7.75325086552636	-1.68804083112315	-7.69553536767007	-0.656508822926804	-11.0460326147542	-4.5931736500404	-8.19803570819926	-15.6948838192602	-11.0460326147542	-14.0601892784634
4041.2.lib29	-3.56289224261608	-2.15609157493093	-15.3570708427733	-0.575565372449924	-15.8345698072174	-5.91367520017563	-8.19725698341351	-15.6948838192602	-16.0232923212568	-14.0601892784634
4041.3.lib29	-3.37771987620694	-2.32182656457022	-15.3570708427733	-0.53904617634593	-15.8345698072174	-6.34330629198067	-8.27095544775598	-15.6948838192602	-16.0232923212568	-14.0601892784634
4041.4.lib29	-3.99954453194858	-1.94086944961426	-15.3570708427733	-0.600563378888809	-15.8345698072174	-6.09751969151188	-8.41944778639924	-15.6948838192602	-16.0232923212568	-14.0601892784634
4042.2.lib27	-6.15419892282526	-1.6188067007387	-8.50772386260696	-0.677638800642399	-15.8345698072174	-5.03941983996571	-8.95752678004648	-15.6948838192602	-16.0232923212568	-14.0601892784634
4042.3.lib30	-5.38500427765046	-1.76265313099456	-9.05132942008554	-0.623897221655499	-15.8345698072174	-5.10244473581239	-9.42437283069975	-15.6948838192602	-16.0232923212568	-14.0601892784634
4042.4.lib30	-5.56312367465522	-1.7825495288281	-8.54472952355793	-0.611637025685822	-15.8345698072174	-5.12756123682851	-8.67736729213605	-15.6948838192602	-16.0232923212568	-14.0601892784634
4051.2.lib27	-5.2154039122248	-1.71496458512816	-8.32704926805371	-0.622748082700208	-13.1850302631813	-5.982090204511	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4051.3.lib30	-4.28976369987023	-1.74879333196414	-7.05600843396451	-0.672846433301567	-15.8345698072174	-5.91795625265296	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4051.4.lib30	-5.2041453698386	-1.2437375489115	-7.42551713669959	-0.907555470343894	-15.8345698072174	-6.41839270226621	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4054.2.lib27	-5.69219572404618	-2.24809258768512	-15.3570708427733	-0.434652673581575	-15.8345698072174	-5.04525558414842	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4054.3.lib30	-4.49733475967189	-2.46069825176597	-15.3570708427733	-0.470772804317151	-15.8345698072174	-4.25188188315243	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4054.4.lib30	-5.20083319287889	-2.33124113869334	-15.3570708427733	-0.458897032268716	-15.8345698072174	-4.42490024590759	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4056.2.lib27	-7.24896526360766	-1.84955381186079	-7.32415276000188	-0.524717890298009	-15.8345698072174	-6.09668042130108	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4056.3.lib30	-6.37738642233288	-1.55074700092397	-7.83509884111522	-0.709781255314928	-15.8345698072174	-5.02774391905762	-15.0150011765143	-12.3523745343248	-16.0232923212568	-14.0601892784634
4056.4.lib30	-7.3327079336406	-1.12563936763047	-6.8997485263645	-0.982407145335408	-15.8345698072174	-5.57426261206395	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4058.3.lib30	-6.02786787491308	-6.42860481064112	-15.3570708427733	-0.107388387293091	-15.8345698072174	-4.48042371895906	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4058.4.lib30	-6.40662266106599	-5.58928178266506	-15.3570708427733	-0.123458235068146	-15.8345698072174	-4.35861384127111	-15.0150011765143	-10.4548133485125	-16.0232923212568	-14.0601892784634
4060.2.lib27	-5.99501030211875	-1.54278899268201	-11.4637797853354	-0.701931781441709	-15.8345698072174	-5.26551015819911	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4060.3.lib30	-5.10312044535237	-1.64241604759336	-13.5969758945932	-0.663239141992945	-15.8345698072174	-5.71433284523135	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4060.4.lib30	-5.86715283868129	-1.33770392515945	-15.3570708427733	-0.845689820314592	-15.8345698072174	-5.02217412368925	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4061.2.lib29	-8.8253746896473	-1.96071232942808	-15.3570708427733	-1.09986422844987	-10.3883108840385	-1.86992596208172	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4061.3.lib29	-8.57411511848416	-1.65860496002312	-15.3570708427733	-1.06151890021947	-11.3494088313095	-2.31386950983716	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4061.4.lib29	-8.42091718951873	-1.24970247559891	-15.3570708427733	-1.31073050470939	-11.0058796902399	-2.53162065392495	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4063.3.lib30	-15.0534168447575	-1.13306707908209	-15.3570708427733	-0.890130529065702	-15.8345698072174	-7.79928773164617	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4063.4.lib30	-15.0534168447575	-1.67224282631044	-15.3570708427733	-0.553190154666677	-15.8345698072174	-7.72597481024823	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4064.2.lib27	-9.266692856157	-3.13988515301497	-10.7406240444894	-0.340100346105934	-15.8345698072174	-6.72072448705171	-3.55850562013629	-15.6948838192602	-16.0232923212568	-14.0601892784634
4064.4.lib30	-7.56405873447091	-2.87023993222236	-10.7864511558074	-0.381014185605216	-13.3714136565285	-6.01679694293498	-3.75731733359665	-15.6948838192602	-16.0232923212568	-14.0601892784634
4065.2.lib27	-5.78336067784111	-2.46694958792131	-8.56885616593497	-0.36274148190848	-15.8345698072174	-5.5976151589164	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4065.3.rerun.lib32	-4.69008114064905	-2.0213649617467	-7.93265144392313	-0.55455506554761	-15.8345698072174	-5.06003075039935	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4065.4.lib30	-6.29939120612683	-1.41235341470763	-8.28028238317912	-0.775933796976698	-15.8345698072174	-5.3582848951804	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4068.2.lib27	-7.69743954912483	-3.03166500281557	-10.5778579333722	-0.295611907063592	-10.3368498338684	-4.13944409600394	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4068.4.lib30	-7.93373604341682	-2.13592489403008	-11.3711413557241	-0.486843620439866	-10.496672237808	-4.21801159682478	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4070.2.lib29	-7.50291565626511	-1.6267685840877	-15.3570708427733	-0.97482641079972	-15.8345698072174	-2.6270645518887	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4070.3.lib30	-7.49054509671545	-1.37920591339091	-15.3570708427733	-0.975013003916268	-15.8345698072174	-3.30366696199194	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4070.4.rerun.lib32	-5.08528725558831	-5.99938190750686	-15.3570708427733	-0.189174141390124	-15.8345698072174	-3.6840029113768	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4072.2.lib27	-5.28979547394655	-2.15610063453302	-7.53138146051631	-1.04588754529282	-11.2418748433213	-1.94913491679618	-10.0574502721839	-15.6948838192602	-16.0232923212568	-14.0601892784634
4072.3.lib30	-4.56777989443581	-1.68057166468899	-7.26998007044134	-0.858256127758206	-10.1883663048877	-3.53731461370875	-10.3086605386054	-15.6948838192602	-16.0232923212568	-14.0601892784634
4072.4.lib30	-4.93019284442879	-1.90368709021084	-8.08178602309885	-0.785078343363219	-10.3712926402938	-3.12758971271197	-10.3712926402938	-15.6948838192602	-16.0232923212568	-14.0601892784634
4075.2.lib27	-6.77238956002011	-2.29209505786726	-8.17870984219784	-0.406226329194022	-15.8345698072174	-6.62597131146242	-6.09226982625861	-13.2318211786574	-8.06189617721509	-14.0601892784634
4075.3.rerun.lib32	-6.9288221343068	-3.03589771786229	-7.265418278983	-0.262623791047789	-15.8345698072174	-6.16869350752128	-6.21370324243885	-15.6948838192602	-8.69102501997203	-14.0601892784634
4075.4.lib30	-6.93827517801807	-1.7360224442969	-7.25884799329342	-0.655308710267732	-13.4085951127981	-5.73381434982848	-5.31407751401381	-15.6948838192602	-7.34250592234033	-14.0601892784634
4076.2.lib27	-4.23709351788796	-3.26606427131558	-6.25731179730661	-0.731790988211544	-11.2115081076935	-2.16728477200388	-8.21150810769349	-12.8895800128061	-16.0232923212568	-9.65691925601585
4076.3.lib30	-3.5625866196279	-2.26292952451058	-5.91794578411751	-0.737781598170364	-15.8345698072174	-3.48616121000152	-9.31026320689628	-15.6948838192602	-16.0232923212568	-14.0601892784634
4076.4.rerun.lib32	-2.33450500673647	-5.69639684106102	-6.07368842615249	-0.447377665949378	-15.8345698072174	-5.14685483871446	-8.65548364779496	-15.6948838192602	-16.0232923212568	-8.14852365907508
4077.2.lib27	-7.06634061268846	-2.67009035228777	-15.3570708427733	-0.502041417482901	-11.3609613615801	-2.95528802929822	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4080.2.lib27	-9.21375712952359	-8.080173975145	-15.3570708427733	-0.498486606456705	-15.8345698072174	-6.94669096967075	-1.84359024589557	-14.6948838192602	-16.0232923212568	-14.0601892784634
4080.3.lib30	-8.12998318441364	-7.48109335690294	-15.3570708427733	-0.186700220773867	-15.8345698072174	-6.02206784524675	-3.37043430488031	-12.8164837115969	-16.0232923212568	-14.0601892784634
4080.4.lib30	-8.0127146397295	-7.64498285522901	-15.3570708427733	-0.154332505980991	-15.8345698072174	-5.90351586882786	-3.72492780042204	-11.9669109501164	-16.0232923212568	-14.0601892784634
4082.2.lib29	-8.16463333273562	-2.55936800552008	-10.0067536729539	-0.751725103135173	-2.36501029054858	-5.05028897367063	-7.33088267603454	-15.6948838192602	-16.0232923212568	-9.38702575407207
4082.3.lib29	-8.33166699253951	-1.92707541846723	-9.15638307525855	-0.847619853478493	-3.13100886355759	-4.74843123653782	-5.39607190114006	-15.6948838192602	-16.0232923212568	-9.49986731351236
4082.4.lib29	-8.92995698066865	-1.5181517872513	-9.47052536203136	-1.24228969641344	-2.71509823201761	-4.51632905164448	-5.15736747677173	-15.6948838192602	-16.0232923212568	-10.4851721379958
4083.3.lib30	-5.14938615697255	-2.05155983793546	-6.87274934002861	-0.497607965843818	-15.8345698072174	-6.18834518609226	-15.0150011765143	-13.7014147683316	-16.0232923212568	-14.0601892784634
4083.4.lib30	-4.85957816435717	-2.48657938911841	-7.58850643945796	-0.38384473339077	-12.7584314409003	-6.03505491148202	-15.0150011765143	-12.7584314409003	-16.0232923212568	-14.0601892784634
