feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
run02-102	-3.71163585558132	-1.7931774102429	-10.3530855476489	-5.78154356269011	-0.932774391806166	-10.9380480483701	-3.44485974135661	-15.4729446337796
run02-103	-3.89417020424369	-2.08094729614412	-7.06304021840617	-5.61052801370866	-0.647298450116076	-15.8344463596196	-5.16630948901787	-8.88470297714765
run02-104	-3.28973396495568	-1.87970720205047	-16.0209220818313	-15.3570708427733	-0.72622545035727	-15.8344463596196	-5.53810032100064	-15.4729446337796
run02-105	-5.31445626139151	-14.3016033642667	-16.0209220818313	-15.3570708427733	-1.6109911181494	-15.8344463596196	-0.627054996576527	-15.4729446337796
run02-106	-3.94254308968963	-1.7900419949666	-8.01833357729407	-6.63072930813834	-0.777313601068874	-9.68459618011708	-4.40564177105287	-15.4729446337796
run02-107	-2.50928469535035	-2.73882115074469	-16.0209220818313	-15.3570708427733	-0.983956571607459	-3.22771808191118	-4.00669120259896	-15.4729446337796
run02-108	-2.74763702653346	-3.67276824712325	-16.0209220818313	-15.3570708427733	-0.607253477433901	-10.1237295200008	-3.11589524601183	-15.4729446337796
run02-109	-3.79278356398933	-1.79602082012137	-6.96370387077701	-5.72856671072054	-0.905661712658739	-9.53973324672816	-3.72381631116713	-8.83518913025433
run02-110	-4.57970645073126	-2.14020133630178	-16.0209220818313	-7.21240156223652	-0.633795165262745	-8.85130287006848	-4.22736913783449	-5.34759068987049
run02-111	-4.98194582355945	-1.52742969533627	-9.53776197862109	-8.82406616377773	-0.780605353013009	-15.8344463596196	-4.80440763800727	-15.4729446337796
run02-112	-1.51163159109582	-2.86522088088716	-16.0209220818313	-5.20757392626452	-1.27224136259208	-10.3202740590139	-7.36918365949483	-3.9627220543958
run02-113	-2.30738148076907	-2.24772848982891	-16.0209220818313	-7.29418655094266	-0.885196604766555	-12.2828712377148	-4.67184644040747	-12.2828712377148
run02-114	-3.16591337365441	-2.19268607046788	-16.0209220818313	-9.33223742286667	-0.852146333663279	-15.8344463596196	-3.12879529527158	-15.4729446337796
run02-115	-3.16758003881871	-2.21303535354747	-16.0209220818313	-6.58794209277741	-0.733382961256409	-9.03640259359371	-4.07736664418032	-15.4729446337796
run02-116	-2.73614315516575	-1.78880006675792	-16.0209220818313	-7.51312442817984	-1.12486790976212	-15.8344463596196	-3.37357307578105	-15.4729446337796
run02-117	-5.89126436045912	-2.0904402176155	-4.55120581234496	-6.87446911791614	-0.863759718502212	-15.8344463596196	-4.91511110241349	-3.12652481601287
run02-118	-3.9804988204981	-2.33974515967097	-16.0209220818313	-7.128040920406	-1.08628282414687	-5.54307841968485	-2.06169232240624	-15.4729446337796
run02-119	-3.98861977214906	-2.15288814704336	-4.8088559855034	-7.88183543086051	-0.762698539332369	-15.8344463596196	-3.64325043351796	-8.48047286847874
run02-120	-3.28567671727736	-1.98260764964132	-16.0209220818313	-6.12141344070479	-0.782153328265023	-10.3598181800299	-4.38683839396358	-15.4729446337796
run02-121	-6.2418245686582	-2.15929402295009	-16.0209220818313	-7.38129898757926	-0.636692734416859	-15.8344463596196	-3.13622886275223	-15.4729446337796
run02-122	-5.08460027339804	-2.4442170353934	-11.3779076903456	-15.3570708427733	-0.940452835790056	-15.8344463596196	-1.91409142126346	-15.4729446337796
run02-124	-3.95569291319011	-2.20404115798311	-16.0209220818313	-7.72457368743308	-0.595652293510661	-10.0980320829605	-4.28950661719499	-15.4729446337796
run02-125	-2.3696501302833	-2.44820436321404	-16.0209220818313	-8.13750352374993	-0.851407868180806	-15.8344463596196	-3.94866745071941	-10.4594316186373
run02-126	-4.85747029369938	-4.82608337685513	-16.0209220818313	-15.3570708427733	-0.505708515608801	-5.59161812321811	-2.28490063551728	-15.4729446337796
run02-127	-4.56516085950567	-1.78671862936331	-16.0209220818313	-9.40251052186111	-0.696776504050507	-8.81754802113996	-4.40251052186111	-15.4729446337796
run02-128	-1.94065704318533	-2.51096693421602	-16.0209220818313	-15.3570708427733	-0.891824450099366	-15.8344463596196	-5.31432546856333	-15.4729446337796
run02-129	-8.90280576972531	-14.3016033642667	-16.0209220818313	-15.3570708427733	-0.00532042031400717	-15.8344463596196	-9.29512319250407	-15.4729446337796
run02-130	-2.96609851609604	-2.22828588577357	-16.0209220818313	-8.77114450988132	-0.749273692336063	-15.8344463596196	-4.07651375287346	-8.85995377683917
run02-131	-4.91230119144188	-2.22172394751159	-16.0209220818313	-8.90534843080011	-0.618998006158816	-11.3833957276048	-3.3390016082463	-15.4729446337796
run02-132	-3.94407507117702	-2.01201664814872	-16.0209220818313	-15.3570708427733	-0.821154784086169	-15.8344463596196	-3.04555506217605	-15.4729446337796
run02-133	-2.96256995937108	-1.93310508092386	-16.0209220818313	-9.24458158903255	-0.886781805102414	-15.8344463596196	-3.89149690447049	-15.4729446337796
run02-134	-2.34319436318411	-2.18310981996527	-16.0209220818313	-8.51151547892383	-0.877357872580405	-13.1553716686986	-4.81552166581394	-15.4729446337796
run02-135	-3.79188269993667	-1.76519927489515	-16.0209220818313	-15.3570708427733	-0.839118006719066	-4.0873865908848	-5.98362279402865	-15.4729446337796
run02-136	-3.25361309523382	-2.20012665931185	-16.0209220818313	-15.3570708427733	-0.59635615954845	-15.8344463596196	-5.95590741581683	-15.4729446337796
run02-137	-2.95772541698332	-2.85694200710305	-16.0209220818313	-9.41809354655313	-0.626186473293556	-15.8344463596196	-3.57511471476481	-15.4729446337796
run02-138	-3.80544669208702	-1.98800550798105	-16.0209220818313	-9.21740698783686	-0.611646893520216	-15.8344463596196	-6.20110517550776	-7.22837810565786
run02-145	-3.26035927428692	-2.90793808712702	-16.0209220818313	-9.6505282304871	-0.492970759546962	-9.1062077142633	-4.35743981847972	-15.4729446337796
run02-146	-3.93611826737269	-2.64962845325284	-7.46899225694539	-7.484422297515	-0.428906604933124	-15.8344463596196	-5.55597555854003	-15.4729446337796
run02-147	-3.75744379773158	-1.7472180661534	-16.0209220818313	-15.3570708427733	-0.683649723677653	-15.8344463596196	-7.48211409312941	-15.4729446337796
run02-148	-3.90477365459642	-2.24828063914377	-10.8589699649833	-9.99647348873323	-0.846472395978899	-12.3184015836206	-4.70001608136198	-2.98356965550259
run02-150	-3.17852553131713	-1.85231714472305	-10.9357964720549	-5.93902037292918	-0.871919930711563	-11.5732263926702	-4.34976093666851	-15.4729446337796
run02-151	-3.9894781942982	-1.98384423160896	-7.73913343084892	-6.12199052437861	-0.634938676239985	-15.8344463596196	-5.73642414359093	-8.66513284940514
run02-152	-3.19099134849073	-1.98559373875532	-16.0209220818313	-15.3570708427733	-0.692818490481824	-15.8344463596196	-5.69177871022717	-15.4729446337796
run02-153	-4.41620804298678	-10.4606021623452	-16.0209220818313	-15.3570708427733	-1.54685789569565	-15.8344463596196	-0.71264898300151	-15.4729446337796
run02-154	-3.8768447071914	-2.37372913296161	-8.00090658158971	-6.52498684016384	-0.586841052327341	-9.92028812138142	-4.1230495285568	-15.4729446337796
run02-155	-3.15710474172716	-2.59962297742811	-16.0209220818313	-15.3570708427733	-0.751215105184326	-3.40024257321248	-4.87424535753711	-15.4729446337796
run02-156	-3.79366825785135	-2.32983564086234	-16.0209220818313	-15.3570708427733	-0.545967592168111	-15.8344463596196	-4.57976638878836	-8.80556907182874
run02-157	-4.14774028647842	-1.65145751154387	-7.72894086840337	-5.97672750053823	-0.88016146194266	-15.8344463596196	-4.05722290327414	-9.59143734465344
run02-158	-4.41278152533848	-1.78709846409856	-16.0209220818313	-7.23720996075502	-0.85523448219772	-10.6846689377262	-3.94197673253308	-4.70947232872682
run02-159	-4.26494492414118	-1.89818629958698	-9.95843188164051	-9.45593154111132	-0.574907577319752	-15.8344463596196	-7.39364726285698	-15.4729446337796
run02-160	-1.42021896508414	-3.12551538115134	-16.0209220818313	-5.64573303297595	-1.21056211420006	-11.7246843743708	-7.01318946772068	-4.27512299975753
run02-161	-3.07770745561809	-2.39611639021747	-16.0209220818313	-6.45981106553486	-0.621657656108911	-15.8344463596196	-5.07514721529953	-10.6297360669772
run02-162	-3.70163252105393	-2.09425615099523	-16.0209220818313	-10.0964014228268	-0.748727330921317	-15.8344463596196	-3.42802291391799	-15.4729446337796
run02-163	-3.32806672963998	-1.91280743083101	-16.0209220818313	-6.99517827171501	-0.775303907081075	-9.7221597773086	-4.58861892636047	-15.4729446337796
run02-164	-2.76132014617833	-1.97679900511023	-16.0209220818313	-7.31204145327848	-0.893351087715166	-15.8344463596196	-4.21617290729637	-15.4729446337796
run02-165	-5.36117971683196	-2.24740394933314	-5.18197690180164	-6.68310781171933	-0.946433112813887	-15.8344463596196	-5.47239719543051	-2.42389608124786
run02-166	-4.02368125366954	-1.77240651315354	-16.0209220818313	-7.2250045573004	-0.766222362505211	-5.37146338628481	-5.2107906980807	-15.4729446337796
